* This is the StructMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to StructMobWeight.csv.
* Lines starting with '*' are comments and ignored
* It allows you to add and remove mobs and adjust their spawnweights for Structures
* like shipwrecks, nether fortresses, water monuments, etc.
* 
1, biomeswevegone:abandoned_prairie_house, HEADING, header:ignore, 0, 0, 0
37, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
38, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
39, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
40, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
41, terralith:igloo, HEADING, header:ignore, 0, 0, 0
42, biomeswevegone:ironwood_gour_plateau, HEADING, header:ignore, 0, 0, 0
43, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
44, biomeswevegone:large_cold_lake, HEADING, header:ignore, 0, 0, 0
45, biomeswevegone:large_cold_lake, WATER_AMBIENT, minecraft:salmon, 10, 4, 10
46, bloomingnature:little_house, HEADING, header:ignore, 0, 0, 0
47, biomeswevegone:lush_arch, HEADING, header:ignore, 0, 0, 0
48, terralith:mage_complex, HEADING, header:ignore, 0, 0, 0
49, terralith:mage_tower, HEADING, header:ignore, 0, 0, 0
50, terralith:mage_tower_autumn, HEADING, header:ignore, 0, 0, 0
51, terralith:mage_tower_spring, HEADING, header:ignore, 0, 0, 0
52, terralith:mage_tower_summer, HEADING, header:ignore, 0, 0, 0
53, terralith:mage_tower_winter, HEADING, header:ignore, 0, 0, 0
54, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
55, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
56, minecraft:mineshaft, AMBIENT, alexsmobs:underminer, 50, 1, 1
57, minecraft:mineshaft, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
58, minecraft:mineshaft, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
59, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
60, minecraft:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 50, 1, 1
61, minecraft:mineshaft_mesa, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
62, minecraft:mineshaft_mesa, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
63, minecraft:monument, HEADING, header:ignore, 0, 0, 0
64, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
65, minecraft:monument, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
66, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
67, minecraft:nether_fossil, MONSTER, alexsmobs:soul_vulture, 30, 1, 1
68, bakery:oat_field, HEADING, header:ignore, 0, 0, 0
69, bakery:oat_field, CREATURE, minecraft:pig, 10, 1, 4
70, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
71, minecraft:ocean_ruin_cold, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
72, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
73, minecraft:ocean_ruin_warm, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
74, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
75, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 10, 1, 1
76, minecraft:pillager_outpost, WATER_AMBIENT, fishofthieves:battlegill, 10, 2, 4
77, galosphere:pink_salt_shrine, HEADING, header:ignore, 0, 0, 0
78, biomeswevegone:prairie_house, HEADING, header:ignore, 0, 0, 0
79, berries_and_cherries:raspberry_bush_structure, HEADING, header:ignore, 0, 0, 0
80, biomeswevegone:red_rock_arch, HEADING, header:ignore, 0, 0, 0
81, goodending:revamped_swamp_hut, HEADING, header:ignore, 0, 0, 0
82, terralith:rubble_desert, HEADING, header:ignore, 0, 0, 0
83, terralith:rubble_forest, HEADING, header:ignore, 0, 0, 0
84, terralith:rubble_jungle, HEADING, header:ignore, 0, 0, 0
85, terralith:rubble_mesa, HEADING, header:ignore, 0, 0, 0
86, terralith:rubble_mountain, HEADING, header:ignore, 0, 0, 0
87, terralith:rubble_taiga, HEADING, header:ignore, 0, 0, 0
88, biomeswevegone:rugged_fossil, HEADING, header:ignore, 0, 0, 0
89, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
90, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
91, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
92, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
93, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
94, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
95, minecraft:ruined_portal_ocean, WATER_AMBIENT, fishofthieves:wrecker, 50, 4, 8
96, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
97, fishofthieves:seapost, HEADING, header:ignore, 0, 0, 0
98, biomeswevegone:sharpened_rock, HEADING, header:ignore, 0, 0, 0
99, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
100, minecraft:shipwreck, MONSTER, alexsmobs:skelewag, 15, 1, 2
101, minecraft:shipwreck, WATER_AMBIENT, fishofthieves:wrecker, 50, 4, 8
102, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
103, terralith:spire, HEADING, header:ignore, 0, 0, 0
104, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
105, minecraft:stronghold, WATER_AMBIENT, fishofthieves:ancientscale, 12, 4, 8
106, minecraft:stronghold, WATER_AMBIENT, fishofthieves:plentifin, 12, 4, 8
107, bloomingnature:swamp_hut, HEADING, header:ignore, 0, 0, 0
108, bloomingnature:swamp_hut, CREATURE, minecraft:witch, 10, 1, 4
109, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
110, minecraft:swamp_hut, MONSTER, minecraft:witch, 10, 1, 1
111, minecraft:swamp_hut, CREATURE, minecraft:cat, 10, 1, 1
112, bloomingnature:swamp_ruin_1, HEADING, header:ignore, 0, 0, 0
113, bloomingnature:swamp_ruin_1, CREATURE, minecraft:witch, 10, 1, 4
114, bloomingnature:swamp_ruin_2, HEADING, header:ignore, 0, 0, 0
115, bloomingnature:swamp_ruin_2, CREATURE, minecraft:witch, 10, 1, 4
116, bloomingnature:swamp_ruin_3, HEADING, header:ignore, 0, 0, 0
117, bloomingnature:swamp_ruin_3, CREATURE, minecraft:witch, 10, 1, 4
118, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
119, bloomingnature:tree_stump, HEADING, header:ignore, 0, 0, 0
120, terralith:underground/frosted_dungeon, HEADING, header:ignore, 0, 0, 0
121, terralith:underground/giant_bee_hive, HEADING, header:ignore, 0, 0, 0
122, terralith:underground/mining_outpost, HEADING, header:ignore, 0, 0, 0
123, terralith:underground/oak_cabin, HEADING, header:ignore, 0, 0, 0
124, terralith:underground/old_refinery, HEADING, header:ignore, 0, 0, 0
125, terralith:underground/sunken_tower, HEADING, header:ignore, 0, 0, 0
126, terralith:underground/witch_hut, HEADING, header:ignore, 0, 0, 0
127, terralith:underground_cabin, HEADING, header:ignore, 0, 0, 0
128, terralith:valley_lodge, HEADING, header:ignore, 0, 0, 0
129, biomeswevegone:village/forgotten, HEADING, header:ignore, 0, 0, 0
130, biomeswevegone:village/pumpkin_patch, HEADING, header:ignore, 0, 0, 0
131, biomeswevegone:village/red_rock, HEADING, header:ignore, 0, 0, 0
132, biomeswevegone:village/salem, HEADING, header:ignore, 0, 0, 0
133, biomeswevegone:village/skyris, HEADING, header:ignore, 0, 0, 0
134, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
135, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
136, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
137, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
138, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
139, terralith:witch_hut, HEADING, header:ignore, 0, 0, 0
140, terralith:witch_hut, MONSTER, minecraft:witch, 10, 1, 2
141, terralith:witch_hut, CREATURE, minecraft:cat, 10, 1, 1
