1, swamp, biomesoplenty:bayou, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
92, none, biomesoplenty:forested_field, CREATURE, alexsmobs:bison,10,2,3
93, none, biomesoplenty:grassland, CREATURE, alexsmobs:bison,10,3,5
94, none, biomesoplenty:highland, CREATURE, alexsmobs:bison,0,6,10
95, none, biomesoplenty:lavender_field, CREATURE, alexsmobs:bison,0,6,10
96, forest, biomesoplenty:orchard, CREATURE, alexsmobs:bison,0,6,10
97, none, biomesoplenty:pasture, CREATURE, alexsmobs:bison,10,3,5
98, plains, biomesoplenty:prairie, CREATURE, alexsmobs:bison,10,3,5
99, none, biomesoplenty:rocky_shrubland, CREATURE, alexsmobs:bison,0,6,10
100, taiga, biomesoplenty:tundra, CREATURE, alexsmobs:bison,0,6,10
101, none, biomeswevegone:allium_shrubland, CREATURE, alexsmobs:bison,0,1,2
102, none, biomeswevegone:amaranth_grassland, CREATURE, alexsmobs:bison,10,3,5
103, none, biomeswevegone:coconino_meadow, CREATURE, alexsmobs:bison,10,3,5
104, none, biomeswevegone:crimson_tundra, CREATURE, alexsmobs:bison,0,6,10
105, none, biomeswevegone:firecracker_chaparral, CREATURE, alexsmobs:bison,0,6,10
106, none, biomeswevegone:prairie, CREATURE, alexsmobs:bison,10,3,5
107, none, biomeswevegone:pumpkin_valley, CREATURE, alexsmobs:bison,0,6,10
108, none, biomeswevegone:rose_fields, CREATURE, alexsmobs:bison,0,6,10
109, plains, biomeswevegone:temperate_grove, CREATURE, alexsmobs:bison,0,6,10
110, plains, minecraft:meadow, CREATURE, alexsmobs:bison,10,3,5
111, plains, minecraft:plains, CREATURE, alexsmobs:bison,10,3,5
112, icy, minecraft:snowy_plains, CREATURE, alexsmobs:bison,0,6,10
113, none, minecraft:sunflower_plains, CREATURE, alexsmobs:bison,0,6,10
114, none, regions_unexplored:barley_fields, CREATURE, alexsmobs:bison,10,3,5
115, none, regions_unexplored:clover_plains, CREATURE, alexsmobs:bison,10,3,5
116, none, regions_unexplored:flower_fields, CREATURE, alexsmobs:bison,10,3,5
117, none, regions_unexplored:poppy_fields, CREATURE, alexsmobs:bison,0,3,5
118, plains, regions_unexplored:prairie, CREATURE, alexsmobs:bison,10,3,5
119, none, regions_unexplored:pumpkin_fields, CREATURE, alexsmobs:bison,0,3,5
120, plains, regions_unexplored:rocky_meadow, CREATURE, alexsmobs:bison,0,6,10
121, none, regions_unexplored:shrubland, CREATURE, alexsmobs:bison,0,6,10
122, none, terralith:alpine_highlands, CREATURE, alexsmobs:bison,0,6,10
123, none, terralith:cold_shrubland, CREATURE, alexsmobs:bison,0,6,10
124, none, terralith:highlands, CREATURE, alexsmobs:bison,0,6,10
125, none, terralith:rocky_shrubland, CREATURE, alexsmobs:bison,0,6,10
126, plains, terralith:steppe, CREATURE, alexsmobs:bison,0,6,10
127, none, terralith:valley_clearing, CREATURE, alexsmobs:bison,0,6,10
128, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, alexsmobs:blobfish,30,2,2
129, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, alexsmobs:blobfish,30,2,2
130, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, alexsmobs:blobfish,30,2,2
131, ocean, minecraft:deep_ocean, WATER_AMBIENT, alexsmobs:blobfish,30,2,2
132, ocean, regions_unexplored:hyacinth_deeps, WATER_AMBIENT, alexsmobs:blobfish,30,2,2
133, swamp, biomesoplenty:bog, CREATURE, alexsmobs:blue_jay,16,2,4
134, taiga, biomesoplenty:coniferous_forest, CREATURE, alexsmobs:blue_jay,16,2,4
135, taiga, biomesoplenty:dead_forest, CREATURE, alexsmobs:blue_jay,0,2,4
136, taiga, biomesoplenty:field, CREATURE, alexsmobs:blue_jay,16,2,4
137, taiga, biomesoplenty:fir_clearing, CREATURE, alexsmobs:blue_jay,16,2,4
138, taiga, biomesoplenty:maple_woods, CREATURE, alexsmobs:blue_jay,16,2,4
139, forest, biomesoplenty:mediterranean_forest, CREATURE, alexsmobs:blue_jay,16,2,4
140, forest, biomesoplenty:mystic_grove, CREATURE, alexsmobs:blue_jay,16,2,4
141, taiga, biomesoplenty:old_growth_dead_forest, CREATURE, alexsmobs:blue_jay,0,2,4
142, taiga, biomesoplenty:ominous_woods, CREATURE, alexsmobs:blue_jay,16,2,4
143, forest, biomesoplenty:orchard, CREATURE, alexsmobs:blue_jay,16,2,4
144, forest, biomesoplenty:pumpkin_patch, CREATURE, alexsmobs:blue_jay,16,2,4
145, forest, biomesoplenty:redwood_forest, CREATURE, alexsmobs:blue_jay,16,2,4
146, forest, biomesoplenty:seasonal_forest, CREATURE, alexsmobs:blue_jay,16,2,4
147, forest, biomesoplenty:seasonal_orchard, CREATURE, alexsmobs:blue_jay,16,2,4
148, none, biomesoplenty:snowblossom_grove, CREATURE, alexsmobs:blue_jay,16,2,4
149, taiga, biomesoplenty:tundra, CREATURE, alexsmobs:blue_jay,16,2,4
150, forest, biomesoplenty:woodland, CREATURE, alexsmobs:blue_jay,16,2,4
151, forest, biomeswevegone:aspen_boreal, CREATURE, alexsmobs:blue_jay,16,2,4
152, forest, biomeswevegone:black_forest, CREATURE, alexsmobs:blue_jay,16,2,4
153, forest, biomeswevegone:canadian_shield, CREATURE, alexsmobs:blue_jay,16,2,4
154, forest, biomeswevegone:cika_woods, CREATURE, alexsmobs:blue_jay,16,2,4
155, forest, biomeswevegone:coniferous_forest, CREATURE, alexsmobs:blue_jay,16,2,4
156, forest, biomeswevegone:dacite_ridges, CREATURE, alexsmobs:blue_jay,0,2,4
157, forest, biomeswevegone:ebony_woods, CREATURE, alexsmobs:blue_jay,16,2,4
158, forest, biomeswevegone:enchanted_tangle, CREATURE, alexsmobs:blue_jay,16,2,4
159, forest, biomeswevegone:eroded_borealis, CREATURE, alexsmobs:blue_jay,16,2,4
160, forest, biomeswevegone:forgotten_forest, CREATURE, alexsmobs:blue_jay,16,2,4
161, forest, biomeswevegone:frosted_coniferous_forest, CREATURE, alexsmobs:blue_jay,16,2,4
162, icy, biomeswevegone:frosted_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
163, forest, biomeswevegone:howling_peaks, CREATURE, alexsmobs:blue_jay,16,2,4
164, taiga, biomeswevegone:maple_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
165, forest, biomeswevegone:orchard, CREATURE, alexsmobs:blue_jay,16,2,4
166, forest, biomeswevegone:overgrowth_woodlands, CREATURE, alexsmobs:blue_jay,16,2,4
167, forest, biomeswevegone:redwood_thicket, CREATURE, alexsmobs:blue_jay,16,2,4
168, forest, biomeswevegone:sakura_grove, CREATURE, alexsmobs:blue_jay,16,2,4
169, forest, biomeswevegone:skyrise_vale, CREATURE, alexsmobs:blue_jay,16,2,4
170, forest, biomeswevegone:weeping_witch_forest, CREATURE, alexsmobs:blue_jay,16,2,4
171, forest, biomeswevegone:zelkova_forest, CREATURE, alexsmobs:blue_jay,16,2,4
172, forest, goodending:oak_hammock_forest, CREATURE, alexsmobs:blue_jay,16,2,4
173, forest, minecraft:birch_forest, CREATURE, alexsmobs:blue_jay,16,2,4
174, extreme_hills, minecraft:cherry_grove, CREATURE, alexsmobs:blue_jay,16,2,4
175, forest, minecraft:dark_forest, CREATURE, alexsmobs:blue_jay,16,2,4
176, forest, minecraft:flower_forest, CREATURE, alexsmobs:blue_jay,16,2,4
177, forest, minecraft:forest, CREATURE, alexsmobs:blue_jay,16,2,4
178, forest, minecraft:grove, CREATURE, alexsmobs:blue_jay,16,2,4
179, forest, minecraft:old_growth_birch_forest, CREATURE, alexsmobs:blue_jay,16,2,4
180, taiga, minecraft:old_growth_pine_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
181, taiga, minecraft:old_growth_spruce_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
182, taiga, minecraft:snowy_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
183, taiga, minecraft:taiga, CREATURE, alexsmobs:blue_jay,16,2,4
184, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:blue_jay,16,2,4
185, forest, regions_unexplored:autumnal_maple_forest, CREATURE, alexsmobs:blue_jay,16,2,4
186, forest, regions_unexplored:bamboo_forest, CREATURE, alexsmobs:blue_jay,16,2,4
187, taiga, regions_unexplored:blackwood_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
188, taiga, regions_unexplored:boreal_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
189, forest, regions_unexplored:deciduous_forest, CREATURE, alexsmobs:blue_jay,16,2,4
190, taiga, regions_unexplored:golden_boreal_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
191, forest, regions_unexplored:magnolia_woodland, CREATURE, alexsmobs:blue_jay,16,2,4
192, forest, regions_unexplored:maple_forest, CREATURE, alexsmobs:blue_jay,16,2,4
193, forest, regions_unexplored:mauve_hills, CREATURE, alexsmobs:blue_jay,16,2,4
194, forest, regions_unexplored:orchard, CREATURE, alexsmobs:blue_jay,16,2,4
195, taiga, regions_unexplored:pine_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
196, taiga, regions_unexplored:redwoods, CREATURE, alexsmobs:blue_jay,16,2,4
197, forest, regions_unexplored:silver_birch_forest, CREATURE, alexsmobs:blue_jay,16,2,4
198, taiga, regions_unexplored:sparse_redwoods, CREATURE, alexsmobs:blue_jay,16,2,4
199, forest, regions_unexplored:temperate_grove, CREATURE, alexsmobs:blue_jay,16,2,4
200, forest, regions_unexplored:willow_forest, CREATURE, alexsmobs:blue_jay,16,2,4
201, forest, terralith:alpine_grove, CREATURE, alexsmobs:blue_jay,16,2,4
202, none, terralith:alpine_highlands, CREATURE, alexsmobs:blue_jay,16,2,4
203, forest, terralith:birch_taiga, CREATURE, alexsmobs:blue_jay,16,2,4
204, none, terralith:blooming_valley, CREATURE, alexsmobs:blue_jay,16,2,4
205, badlands, terralith:bryce_canyon, CREATURE, alexsmobs:blue_jay,16,2,4
206, forest, terralith:cloud_forest, CREATURE, alexsmobs:blue_jay,16,2,4
207, forest, terralith:forested_highlands, CREATURE, alexsmobs:blue_jay,16,2,4
208, none, terralith:highlands, CREATURE, alexsmobs:blue_jay,0,2,4
209, forest, terralith:lavender_forest, CREATURE, alexsmobs:blue_jay,16,2,4
210, forest, terralith:lavender_valley, CREATURE, alexsmobs:blue_jay,16,2,4
211, forest, terralith:lush_valley, CREATURE, alexsmobs:blue_jay,16,2,4
212, forest, terralith:mirage_isles, CREATURE, alexsmobs:blue_jay,16,2,4
213, forest, terralith:moonlight_grove, CREATURE, alexsmobs:blue_jay,16,2,4
214, forest, terralith:moonlight_valley, CREATURE, alexsmobs:blue_jay,16,2,4
215, forest, terralith:sakura_grove, CREATURE, alexsmobs:blue_jay,16,2,4
216, forest, terralith:sakura_valley, CREATURE, alexsmobs:blue_jay,16,2,4
217, forest, terralith:shield, CREATURE, alexsmobs:blue_jay,0,2,4
218, none, terralith:shield_clearing, CREATURE, alexsmobs:blue_jay,0,2,4
219, forest, terralith:siberian_grove, CREATURE, alexsmobs:blue_jay,0,2,4
220, forest, terralith:siberian_taiga, CREATURE, alexsmobs:blue_jay,0,2,4
221, none, terralith:skylands_autumn, CREATURE, alexsmobs:blue_jay,16,2,4
222, forest, terralith:snowy_cherry_grove, CREATURE, alexsmobs:blue_jay,0,2,4
223, forest, terralith:snowy_maple_forest, CREATURE, alexsmobs:blue_jay,16,2,4
224, forest, terralith:snowy_shield, CREATURE, alexsmobs:blue_jay,0,2,4
225, forest, terralith:temperate_highlands, CREATURE, alexsmobs:blue_jay,16,2,4
226, none, terralith:valley_clearing, CREATURE, alexsmobs:blue_jay,16,2,4
227, forest, terralith:white_cliffs, CREATURE, alexsmobs:blue_jay,0,2,4
228, forest, terralith:wintry_forest, CREATURE, alexsmobs:blue_jay,0,2,4
229, forest, terralith:wintry_lowlands, CREATURE, alexsmobs:blue_jay,0,2,4
230, taiga, terralith:yellowstone, CREATURE, alexsmobs:blue_jay,16,2,4
231, forest, terralith:yosemite_lowlands, CREATURE, alexsmobs:blue_jay,16,2,4
232, nether, biomesoplenty:crystalline_chasm, MONSTER, alexsmobs:bone_serpent,0,1,1
233, nether, biomesoplenty:erupting_inferno, MONSTER, alexsmobs:bone_serpent,0,1,1
234, nether, biomesoplenty:undergrowth, MONSTER, alexsmobs:bone_serpent,0,1,1
235, nether, biomesoplenty:visceral_heap, MONSTER, alexsmobs:bone_serpent,0,1,1
236, nether, biomesoplenty:withered_abyss, MONSTER, alexsmobs:bone_serpent,0,1,1
237, nether, minecraft:basalt_deltas, MONSTER, alexsmobs:bone_serpent,0,1,1
238, nether, minecraft:crimson_forest, MONSTER, alexsmobs:bone_serpent,0,1,1
239, nether, minecraft:nether_wastes, MONSTER, alexsmobs:bone_serpent,0,1,1
240, nether, minecraft:soul_sand_valley, MONSTER, alexsmobs:bone_serpent,0,1,1
241, nether, minecraft:warped_forest, MONSTER, alexsmobs:bone_serpent,0,1,1
242, nether, regions_unexplored:blackstone_basin, MONSTER, alexsmobs:bone_serpent,0,1,1
243, nether, regions_unexplored:glistering_meadow, MONSTER, alexsmobs:bone_serpent,0,1,1
244, nether, regions_unexplored:infernal_holt, MONSTER, alexsmobs:bone_serpent,0,1,1
245, nether, regions_unexplored:mycotoxic_undergrowth, MONSTER, alexsmobs:bone_serpent,0,1,1
246, nether, regions_unexplored:redstone_abyss, MONSTER, alexsmobs:bone_serpent,0,1,1
247, jungle, biomesoplenty:fungal_jungle, CREATURE, alexsmobs:bunfungus,10,1,1
248, none, biomesoplenty:glowing_grotto, CREATURE, alexsmobs:bunfungus,10,1,1
249, none, minecraft:mushroom_fields, CREATURE, alexsmobs:bunfungus,10,1,1
250, none, quark:glimmering_weald, CREATURE, alexsmobs:bunfungus,10,1,1
251, swamp, regions_unexplored:fungal_fen, CREATURE, alexsmobs:bunfungus,10,1,1
252, forest, terralith:mirage_isles, CREATURE, alexsmobs:bunfungus,10,1,1
253, ocean, minecraft:cold_ocean, WATER_CREATURE, alexsmobs:cachalot_whale,10,1,2
254, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, alexsmobs:cachalot_whale,10,1,2
255, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, alexsmobs:cachalot_whale,10,1,2
256, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, alexsmobs:cachalot_whale,10,1,2
257, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:cachalot_whale,10,1,2
258, ocean, minecraft:frozen_ocean, WATER_CREATURE, alexsmobs:cachalot_whale,10,1,2
259, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, alexsmobs:cachalot_whale,10,1,2
260, ocean, regions_unexplored:hyacinth_deeps, WATER_CREATURE, alexsmobs:cachalot_whale,10,1,2
261, swamp, minecraft:mangrove_swamp, CREATURE, alexsmobs:caiman,29,2,4
262, none, terralith:cave/underground_jungle, CREATURE, alexsmobs:caiman,29,2,4
263, jungle, biomesoplenty:floodplain, CREATURE, alexsmobs:capuchin_monkey,28,9,16
264, jungle, biomesoplenty:fungal_jungle, CREATURE, alexsmobs:capuchin_monkey,28,9,16
265, jungle, biomesoplenty:rainforest, CREATURE, alexsmobs:capuchin_monkey,28,9,16
266, jungle, biomesoplenty:rocky_rainforest, CREATURE, alexsmobs:capuchin_monkey,28,9,16
267, jungle, biomeswevegone:crag_gardens, CREATURE, alexsmobs:capuchin_monkey,28,9,16
268, jungle, biomeswevegone:fragment_jungle, CREATURE, alexsmobs:capuchin_monkey,28,9,16
269, jungle, biomeswevegone:jacaranda_jungle, CREATURE, alexsmobs:capuchin_monkey,28,9,16
270, jungle, biomeswevegone:tropical_rainforest, CREATURE, alexsmobs:capuchin_monkey,28,9,16
271, jungle, minecraft:jungle, CREATURE, alexsmobs:capuchin_monkey,28,9,16
272, swamp, minecraft:mangrove_swamp, CREATURE, alexsmobs:capuchin_monkey,28,9,16
273, jungle, minecraft:sparse_jungle, CREATURE, alexsmobs:capuchin_monkey,28,9,16
274, jungle, regions_unexplored:eucalyptus_forest, CREATURE, alexsmobs:capuchin_monkey,0,9,16
275, jungle, regions_unexplored:rainforest, CREATURE, alexsmobs:capuchin_monkey,28,9,16
276, jungle, regions_unexplored:sparse_rainforest, CREATURE, alexsmobs:capuchin_monkey,28,9,16
277, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:capuchin_monkey,0,9,16
278, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:capuchin_monkey,10,9,16
279, jungle, terralith:jungle_mountains, CREATURE, alexsmobs:capuchin_monkey,28,9,16
280, jungle, terralith:rocky_jungle, CREATURE, alexsmobs:capuchin_monkey,28,9,16
281, none, terralith:skylands_summer, CREATURE, alexsmobs:capuchin_monkey,0,9,16
282, jungle, terralith:tropical_jungle, CREATURE, alexsmobs:capuchin_monkey,28,9,16
283, swamp, biomesoplenty:bayou, WATER_AMBIENT, alexsmobs:catfish,10,1,3
284, swamp, biomesoplenty:bog, WATER_AMBIENT, alexsmobs:catfish,10,1,3
285, jungle, biomesoplenty:floodplain, WATER_AMBIENT, alexsmobs:catfish,10,1,3
286, swamp, biomesoplenty:marsh, WATER_AMBIENT, alexsmobs:catfish,10,1,3
287, none, biomesoplenty:moor, WATER_AMBIENT, alexsmobs:catfish,10,1,3
288, none, biomesoplenty:muskeg, WATER_AMBIENT, alexsmobs:catfish,10,1,3
289, swamp, biomesoplenty:wetland, WATER_AMBIENT, alexsmobs:catfish,10,1,3
290, none, biomeswevegone:bayou, WATER_AMBIENT, alexsmobs:catfish,10,1,3
291, none, biomeswevegone:cypress_swamplands, WATER_AMBIENT, alexsmobs:catfish,10,1,3
292, none, biomeswevegone:white_mangrove_marshes, WATER_AMBIENT, alexsmobs:catfish,10,1,3
293, none, goodending:marshy_swamp, WATER_AMBIENT, alexsmobs:catfish,10,1,3
294, river, minecraft:river, WATER_AMBIENT, alexsmobs:catfish,10,1,3
295, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:catfish,10,1,3
296, swamp, regions_unexplored:bayou, WATER_AMBIENT, alexsmobs:catfish,10,1,3
297, river, regions_unexplored:cold_river, WATER_AMBIENT, alexsmobs:catfish,10,1,3
298, swamp, regions_unexplored:fen, WATER_AMBIENT, alexsmobs:catfish,10,1,3
299, swamp, regions_unexplored:fungal_fen, WATER_AMBIENT, alexsmobs:catfish,10,1,3
300, swamp, regions_unexplored:marsh, WATER_AMBIENT, alexsmobs:catfish,10,1,3
301, river, regions_unexplored:muddy_river, WATER_AMBIENT, alexsmobs:catfish,10,1,3
302, swamp, regions_unexplored:old_growth_bayou, WATER_AMBIENT, alexsmobs:catfish,10,1,3
303, river, regions_unexplored:tropical_river, WATER_AMBIENT, alexsmobs:catfish,10,1,3
304, swamp, terralith:ice_marsh, WATER_AMBIENT, alexsmobs:catfish,10,1,3
305, swamp, terralith:orchid_swamp, WATER_AMBIENT, alexsmobs:catfish,10,1,3
306, river, terralith:warm_river, WATER_AMBIENT, alexsmobs:catfish,10,1,3
307, none, biomesoplenty:auroral_garden, MONSTER, alexsmobs:centipede_head,0,1,1
308, swamp, biomesoplenty:bayou, MONSTER, alexsmobs:centipede_head,0,1,1
309, swamp, biomesoplenty:bog, MONSTER, alexsmobs:centipede_head,0,1,1
310, plains, biomesoplenty:clover_patch, MONSTER, alexsmobs:centipede_head,0,1,1
311, icy, biomesoplenty:cold_desert, MONSTER, alexsmobs:centipede_head,0,1,1
312, taiga, biomesoplenty:coniferous_forest, MONSTER, alexsmobs:centipede_head,0,1,1
313, extreme_hills, biomesoplenty:crag, MONSTER, alexsmobs:centipede_head,0,1,1
314, taiga, biomesoplenty:dead_forest, MONSTER, alexsmobs:centipede_head,0,1,1
315, desert, biomesoplenty:dryland, MONSTER, alexsmobs:centipede_head,0,1,1
