"Registry Name","Spawned ID","Egg primary color","Egg secondary color"
"minecraft:skeleton_horse_spawn_egg","minecraft:skeleton_horse","0x0068684F (   6842447)","0x00E5E5D8 (  15066584)"
"minecraft:skeleton_spawn_egg","minecraft:skeleton","0x00C1C1C1 (  12698049)","0x00494949 (   4802889)"
"minecraft:slime_spawn_egg","minecraft:slime","0x0051A03E (   5349438)","0x007EBF6E (   8306542)"
"minecraft:sniffer_spawn_egg","minecraft:sniffer","0x00871E09 (   8855049)","0x0025AB70 (   2468720)"
"minecraft:snow_golem_spawn_egg","minecraft:snow_golem","0x00D9F2F2 (  14283506)","0x0081A4A4 (   8496292)"
"minecraft:spider_spawn_egg","minecraft:spider","0x00342D27 (   3419431)","0x00A80E0E (  11013646)"
"minecraft:squid_spawn_egg","minecraft:squid","0x00223B4D (   2243405)","0x00708899 (   7375001)"
"minecraft:stray_spawn_egg","minecraft:stray","0x00617677 (   6387319)","0x00DDEAEA (  14543594)"
"minecraft:strider_spawn_egg","minecraft:strider","0x009C3436 (  10236982)","0x004D494D (   5065037)"
"minecraft:tadpole_spawn_egg","minecraft:tadpole","0x006D533D (   7164733)","0x00160A00 (   1444352)"
"minecraft:trader_llama_spawn_egg","minecraft:trader_llama","0x00EAA430 (  15377456)","0x00456296 (   4547222)"
"minecraft:tropical_fish_spawn_egg","minecraft:tropical_fish","0x00EF6915 (  15690005)","0x00FFF9EF (  16775663)"
"minecraft:turtle_spawn_egg","minecraft:turtle","0x00E7E7E7 (  15198183)","0x0000AFAF (     44975)"
"minecraft:vex_spawn_egg","minecraft:vex","0x007A90A4 (   8032420)","0x00E8EDF1 (  15265265)"
"minecraft:villager_spawn_egg","minecraft:villager","0x00563C33 (   5651507)","0x00BD8B72 (  12422002)"
"minecraft:vindicator_spawn_egg","minecraft:vindicator","0x00959B9B (   9804699)","0x00275E61 (   2580065)"
"minecraft:wandering_trader_spawn_egg","minecraft:wandering_trader","0x00456296 (   4547222)","0x00EAA430 (  15377456)"
"minecraft:warden_spawn_egg","minecraft:warden","0x000F4649 (   1001033)","0x0039D6E0 (   3790560)"
"minecraft:witch_spawn_egg","minecraft:witch","0x00340000 (   3407872)","0x0051A03E (   5349438)"
"minecraft:wither_skeleton_spawn_egg","minecraft:wither_skeleton","0x00141414 (   1315860)","0x00474D4D (   4672845)"
"minecraft:wither_spawn_egg","minecraft:wither","0x00141414 (   1315860)","0x004D72A0 (   5075616)"
"minecraft:wolf_spawn_egg","minecraft:wolf","0x00D7D3D3 (  14144467)","0x00CEAF96 (  13545366)"
"minecraft:zoglin_spawn_egg","minecraft:zoglin","0x00C66E55 (  13004373)","0x00E6E6E6 (  15132390)"
"minecraft:zombie_horse_spawn_egg","minecraft:zombie_horse","0x00315234 (   3232308)","0x0097C284 (   9945732)"
"minecraft:zombie_spawn_egg","minecraft:zombie","0x0000AFAF (     44975)","0x00799C65 (   7969893)"
"minecraft:zombie_villager_spawn_egg","minecraft:zombie_villager","0x00563C33 (   5651507)","0x00799C65 (   7969893)"
"minecraft:zombified_piglin_spawn_egg","minecraft:zombified_piglin","0x00EA9393 (  15373203)","0x004C7129 (   5009705)"
"vinery:mule_spawn_egg","vinery:mule","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"vinery:wandering_winemaker_spawn_egg","vinery:wandering_winemaker","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:bison_spawn_egg","wildernature:bison","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:boar_spawn_egg","wildernature:boar","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:cassowary_spawn_egg","wildernature:cassowary","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:deer_spawn_egg","wildernature:deer","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:dog_spawn_egg","wildernature:dog","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:flamingo_spawn_egg","wildernature:flamingo","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:hedgehog_spawn_egg","wildernature:hedgehog","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:minisheep_spawn_egg","wildernature:minisheep","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:owl_spawn_egg","wildernature:owl","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:pelican_spawn_egg","wildernature:pelican","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:penguin_spawn_egg","wildernature:penguin","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:raccoon_spawn_egg","wildernature:raccoon","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:red_wolf_spawn_egg","wildernature:red_wolf","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:squirrel_spawn_egg","wildernature:squirrel","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
"wildernature:turkey_spawn_egg","wildernature:turkey","0xFFFFFFFF (        -1)","0xFFFFFFFF (        -1)"
