"Registry name","ID"
"alexsmobs:laviathan_hurt",2475
"alexsmobs:laviathan_idle",2474
"alexsmobs:leafcutter_ant_hurt",2447
"alexsmobs:leafcutter_ant_queen_hurt",2448
"alexsmobs:lobster_attack",2378
"alexsmobs:lobster_hurt",2377
"alexsmobs:maned_wolf_hurt",2481
"alexsmobs:maned_wolf_idle",2480
"alexsmobs:mantis_shrimp_hurt",2426
"alexsmobs:mantis_shrimp_snap",2425
"alexsmobs:maraca",2399
"alexsmobs:mimic_octopus_hurt",2466
"alexsmobs:mimic_octopus_idle",2465
"alexsmobs:mimicube_hurt",2396
"alexsmobs:mimicube_jump",2395
"alexsmobs:moose_hurt",2393
"alexsmobs:moose_idle",2392
"alexsmobs:moose_jostle",2394
"alexsmobs:mosquito_capsid_convert",2502
"alexsmobs:mosquito_die",2371
"alexsmobs:mosquito_hurt",2370
"alexsmobs:mosquito_loop",2369
"alexsmobs:mudskipper_hurt",2522
"alexsmobs:mudskipper_spit",2524
"alexsmobs:mudskipper_walk",2523
"alexsmobs:mungus_hurt",2421
"alexsmobs:mungus_idle",2420
"alexsmobs:mungus_laser_end",2422
"alexsmobs:mungus_laser_grow",2424
"alexsmobs:mungus_laser_loop",2423
"alexsmobs:murmur_anger",2547
"alexsmobs:murmur_attack",2546
"alexsmobs:murmur_hurt",2543
"alexsmobs:murmur_idle",2544
"alexsmobs:murmur_neck",2545
"alexsmobs:music_disc_daze",2467
"alexsmobs:music_disc_thime",2452
"alexsmobs:music_wormboss",2460
"alexsmobs:orca_die",2366
"alexsmobs:orca_hurt",2365
"alexsmobs:orca_idle",2364
"alexsmobs:platypus_hurt",2436
"alexsmobs:platypus_idle",2435
"alexsmobs:potoo_call",2521
"alexsmobs:potoo_hurt",2520
"alexsmobs:raccoon_hurt",2398
"alexsmobs:raccoon_idle",2397
"alexsmobs:rain_frog_hurt",2518
"alexsmobs:rain_frog_idle",2519
"alexsmobs:rattlesnake_attack",2374
"alexsmobs:rattlesnake_hurt",2373
"alexsmobs:rattlesnake_loop",2372
"alexsmobs:rhinoceros_hurt",2526
"alexsmobs:rhinoceros_idle",2525
"alexsmobs:roadrunner_hurt",2352
"alexsmobs:roadrunner_idle",2351
"alexsmobs:roadrunner_meep",2353
"alexsmobs:rocky_roller_earthquake",2489
"alexsmobs:rocky_roller_hurt",2488
"alexsmobs:rocky_roller_idle",2487
"alexsmobs:sculk_boomer",2538
"alexsmobs:sculk_boomer_fart",2539
"alexsmobs:seagull_hurt",2469
"alexsmobs:seagull_idle",2468
"alexsmobs:seal_hurt",2402
"alexsmobs:seal_idle",2401
"alexsmobs:shoebill_hurt",2404
"alexsmobs:skelewag_hurt",2516
"alexsmobs:skelewag_idle",2517
"alexsmobs:skreecher_call",2535
"alexsmobs:skreecher_clap",2537
"alexsmobs:skreecher_detect",2536
"alexsmobs:skreecher_hurt",2534
"alexsmobs:skunk_hurt",2549
"alexsmobs:skunk_idle",2550
"alexsmobs:skunk_spray",2551
"alexsmobs:snow_leopard_hurt",2413
"alexsmobs:snow_leopard_idle",2412
"alexsmobs:soul_vulture_hurt",2411
"alexsmobs:soul_vulture_idle",2410
"alexsmobs:spectre_hurt",2415
"alexsmobs:spectre_idle",2414
"alexsmobs:stink_ray",2552
"alexsmobs:straddler_hurt",2432
"alexsmobs:straddler_idle",2431
"alexsmobs:sugar_glider_hurt",2528
"alexsmobs:sugar_glider_idle",2527
"alexsmobs:sunbird_hurt",2382
"alexsmobs:sunbird_idle",2381
"alexsmobs:tarantula_hawk_hurt",2459
"alexsmobs:tarantula_hawk_wing",2458
"alexsmobs:tasmanian_devil_hurt",2440
"alexsmobs:tasmanian_devil_idle",2439
"alexsmobs:tasmanian_devil_roar",2441
"alexsmobs:tendon_whip",2548
"alexsmobs:terrapin_hurt",2499
"alexsmobs:tiger_angry",2457
"alexsmobs:tiger_hurt",2456
"alexsmobs:tiger_idle",2455
"alexsmobs:toucan_hurt",2479
"alexsmobs:toucan_idle",2478
"alexsmobs:transmute_item",2533
"alexsmobs:triops_hurt",2561
"alexsmobs:tusklin_hurt",2473
"alexsmobs:tusklin_idle",2472
"alexsmobs:underminer_hurt",2541
"alexsmobs:underminer_idle",2540
"alexsmobs:underminer_step",2542
"alexsmobs:vine_lasso",2485
"alexsmobs:void_portal_close",2463
"alexsmobs:void_portal_open",2464
"alexsmobs:void_worm_hurt",2462
"alexsmobs:void_worm_idle",2461
"alexsmobs:warped_mosco_hurt",2430
"alexsmobs:warped_mosco_idle",2429
"alexsmobs:warped_toad_hurt",2391
"alexsmobs:warped_toad_idle",2390
"aquaculture:bobber_bait",2228
"aquaculture:bobber_land_lava",2229
"aquaculture:bobber_note_catch",2237
"aquaculture:bottle_open",2236
"aquaculture:fish_ambient",2232
"aquaculture:fish_death",2233
"aquaculture:fish_flop",2231
"aquaculture:fish_hurt",2234
"aquaculture:fish_mount_add_item",2227
"aquaculture:fish_mount_broken",2225
"aquaculture:fish_mount_placed",2226
"aquaculture:fish_mount_removed",2224
"aquaculture:jellyfish_collide",2235
"aquaculture:jellyfish_flop",2230
"aquaculture:tackle_box_close",2222
"aquaculture:tackle_box_open",2221
"aquaculture:worm_farm_empty",2223
"aqupdcaracal:entity.caracal.beg_for_food",2688
"aqupdcaracal:entity.caracal.death",2686
"aqupdcaracal:entity.caracal.eat",2687
"aqupdcaracal:entity.caracal.hiss",2683
"aqupdcaracal:entity.caracal.purr",2684
"aqupdcaracal:entity.caracal.purreow",2685
"aqupdcaracal:entity.caracal.scream",2681
"aqupdcaracal:entity.caracal.small.scream",2682
"arphex:creepy_arthropod",1510
"arphex:creepy_arthropod_large",1511
"arphex:creepy_arthropod_tiny",1509
"arphex:flyingmoth1",1513
"arphex:flyingmoth2",1514
"arphex:heartbeats",1504
"arphex:hornetbuzzlong",1516
"arphex:hornetbuzzshort",1517
"arphex:horrorcrash",1508
"arphex:mothchase",1501
"arphex:mothchase2",1502
"arphex:mothscare",1500
"arphex:mothscream",1506
"arphex:mothscream2",1507
"arphex:rhinobeetlefly",1512
"arphex:spidermothambient",1503
"arphex:spidermothcroak",1515
"arphex:spidermothcroak2",1518
"arphex:spidermothcroak3",1519
"arphex:spidermothcroak4",1520
"arphex:teleportermoth",1505
"beautify:block.blinds_close",1680
"beautify:block.blinds_open",1679
"beautify:block.bookstack_break",1674
"beautify:block.bookstack_fall",1678
"beautify:block.bookstack_hit",1677
"beautify:block.bookstack_next",1673
"beautify:block.bookstack_place",1676
"beautify:block.bookstack_step",1675
"berry_good:music_disc.fox",2792
"bettercombat:anchor_slam",2153
"bettercombat:axe_slash",2154
"bettercombat:claymore_slam",2157
"bettercombat:claymore_stab",2156
"bettercombat:claymore_swing",2155
"bettercombat:dagger_slash",2158
"bettercombat:double_axe_swing",2159
"bettercombat:fist_punch",2160
"bettercombat:glaive_slash_quick",2161
"bettercombat:glaive_slash_slow",2162
"bettercombat:hammer_slam",2163
"bettercombat:katana_slash",2164
"bettercombat:mace_slam",2165
"bettercombat:mace_slash",2166
"bettercombat:pickaxe_swing",2167
"bettercombat:rapier_slash",2168
"bettercombat:rapier_stab",2169
"bettercombat:scythe_slash",2170
"bettercombat:sickle_slash",2176
"bettercombat:spear_stab",2171
"bettercombat:staff_slam",2172
"bettercombat:staff_slash",2173
"bettercombat:staff_spin",2174
"bettercombat:staff_stab",2175
"bettercombat:sword_slash",2177
"bettercombat:wand_swing",2178
"biomesoplenty:block.flesh_tendon.drip",2245
"biomesoplenty:block.pus_bubble.pop",2246
"biomesoplenty:block.spider_egg.break",2247
"biomesoplenty:music.nether.crystalline_chasm",2240
"biomesoplenty:music.nether.erupting_inferno",2241
"biomesoplenty:music.nether.undergrowth",2242
"biomesoplenty:music.nether.visceral_heap",2243
"biomesoplenty:music.nether.withered_abyss",2244
"biomesoplenty:music.overworld.origin_valley",2239
"biomesoplenty:music_disc.wanderer",2238
"biomeswevegone:music.overworld.crag_gardens",2707
"biomeswevegone:music.overworld.eroded_borealis",2708
"biomeswevegone:music.overworld.forgotten_forest",2709
"biomeswevegone:music_disc.pixie_club",2706
"biomeswevegone:oddion.ambient",2704
"biomeswevegone:oddion.die",2702
"biomeswevegone:oddion.happy",2705
"biomeswevegone:oddion.hurt",2703
"bountiful_critters:emu_ambient",2130
"bountiful_critters:emu_death",2132
"bountiful_critters:emu_hurt",2131
"bountiful_critters:longhorn_didgeridoo",2142
"bountiful_critters:pillbug_ambient",2136
"bountiful_critters:pillbug_bounce",2140
"bountiful_critters:pillbug_death",2139
"bountiful_critters:pillbug_hurt",2137
"bountiful_critters:pillbug_step",2138
"bountiful_critters:returning_memory",2141
"bountiful_critters:toucan_ambient",2133
"bountiful_critters:toucan_death",2135
"bountiful_critters:toucan_hurt",2134
"buildersdelight:chiseling",2761
"chalk:ambient.glowing",2151
"chalk:block.mark_removed",2152
"chalk:item.chalk_box_change",2146
"chalk:item.chalk_box_close",2148
"chalk:item.chalk_box_open",2147
"chalk:item.chalk_broken",2145
"chalk:item.chalk_draw",2149
"chalk:item.glow_applied",2150
"chimes:ambient.outdoor.wind",1563
"chimes:block.amethyst.shimmer",1560
"chimes:block.amethyst.shimmering",1561
"chimes:block.bamboo.chime",1551
"chimes:block.bamboo.chiming",1552
"chimes:block.bamboo.tie",1553
"chimes:block.copper.chime",1557
"chimes:block.copper.chiming",1558
"chimes:block.copper.tie",1559
"chimes:block.glass.chime",1562
"chimes:block.iron.chime",1554
"chimes:block.iron.chiming",1555
"chimes:block.iron.tie",1556
"cold_sweat:block.boiler.fuel_deplete",2210
"cold_sweat:block.hearth.fuel_deplete",2209
"cold_sweat:block.icebox.close",2213
"cold_sweat:block.icebox.fuel_deplete",2211
"cold_sweat:block.icebox.open",2212
"cold_sweat:entity.chameleon.ambient",2214
"cold_sweat:entity.chameleon.death",2216
"cold_sweat:entity.chameleon.find",2217
"cold_sweat:entity.chameleon.hurt",2215
"cold_sweat:entity.chameleon.shed",2220
"cold_sweat:entity.chameleon.tongue.in",2218
"cold_sweat:entity.chameleon.tongue.out",2219
"cold_sweat:entity.player.damage.freeze",2204
"cold_sweat:item.soulspring_lamp.off",2206
"cold_sweat:item.soulspring_lamp.on",2205
"cold_sweat:item.waterskin.fill",2208
"cold_sweat:item.waterskin.pour",2207
"copperandtuffbackport:block.copper_bulb.break",2114
"copperandtuffbackport:block.copper_bulb.fall",2118
"copperandtuffbackport:block.copper_bulb.hit",2117
"copperandtuffbackport:block.copper_bulb.place",2116
"copperandtuffbackport:block.copper_bulb.step",2115
"copperandtuffbackport:block.copper_bulb.turn_off",2120
"copperandtuffbackport:block.copper_bulb.turn_on",2119
"copperandtuffbackport:block.copper_door.close",2121
"copperandtuffbackport:block.copper_door.open",2122
"copperandtuffbackport:block.copper_grate.break",2123
"copperandtuffbackport:block.copper_grate.fall",2127
"copperandtuffbackport:block.copper_grate.hit",2126
"copperandtuffbackport:block.copper_grate.place",2125
"copperandtuffbackport:block.copper_grate.step",2124
"copperandtuffbackport:block.copper_trapdoor.close",2128
"copperandtuffbackport:block.copper_trapdoor.open",2129
"copperandtuffbackport:block.polished_tuff.break",2109
"copperandtuffbackport:block.polished_tuff.fall",2110
"copperandtuffbackport:block.polished_tuff.hit",2111
"copperandtuffbackport:block.polished_tuff.place",2112
"copperandtuffbackport:block.polished_tuff.step",2113
"copperandtuffbackport:block.tuff_bricks.break",2104
"copperandtuffbackport:block.tuff_bricks.fall",2105
"copperandtuffbackport:block.tuff_bricks.hit",2106
"copperandtuffbackport:block.tuff_bricks.place",2107
"copperandtuffbackport:block.tuff_bricks.step",2108
"crittersandcompanions:entity.bite_attack",2250
"crittersandcompanions:entity.bubble_pop",2251
"crittersandcompanions:entity.dragonfly.ambient",2252
"crittersandcompanions:entity.ferret.ambient",2253
"crittersandcompanions:entity.ferret.death",2254
"crittersandcompanions:entity.ferret.hurt",2255
"crittersandcompanions:entity.leaf_insect.death",2256
"crittersandcompanions:entity.leaf_insect.hurt",2257
"crittersandcompanions:entity.otter.ambient",2258
"crittersandcompanions:entity.otter.death",2259
"crittersandcompanions:entity.otter.eat",2260
"crittersandcompanions:entity.otter.hurt",2261
"crittersandcompanions:entity.otter.swim",2262
"crittersandcompanions:entity.red_panda.ambient",2263
"crittersandcompanions:entity.red_panda.death",2264
"crittersandcompanions:entity.red_panda.hurt",2265
"crittersandcompanions:entity.sea_bunny.death",2266
"crittersandcompanions:entity.sea_bunny.hurt",2267
"crittersandcompanions:entity.shima_enaga.ambient",2268
"decoration_delight:brewin",2203
"decoration_delight:cookin",2202
"decoration_delight:glazed",2200
"decoration_delight:simmer",2199
"decoration_delight:wash",2201
"doapi:beer_elemental_ambient",2750
"doapi:beer_elemental_attack",2753
"doapi:beer_elemental_death",2752
"doapi:beer_elemental_hurt",2751
"doapi:breath",2749
"doapi:brewstation_ambient",2754
"doapi:brewstation_kettle",2755
"doapi:brewstation_oven",2756
"doapi:brewstation_process_failed",2757
"doapi:brewstation_timer",2758
"doapi:brewstation_whistle",2759
"doapi:cabinet_close",2738
"doapi:cabinet_open",2737
"doapi:cake_cut",2739
"doapi:cart_moving",2746
"doapi:cooking_pot_boiling",2740
"doapi:cooking_pot_hit",2734
"doapi:crafting_bowl_stirring",2743
"doapi:dinner_bell",2747
"doapi:drawer_close",2736
"doapi:drawer_open",2735
"doapi:mincer_cranking",2744
"doapi:roaster_cooking",2741
"doapi:stove_crackling",2742
"doapi:typewriter",2748
"doapi:water_sprinkler",2745
"dtecologics:falling_fruit.bonk",2198
"dynamictrees:falling_tree_big_end",1605
"dynamictrees:falling_tree_big_start",1604
"dynamictrees:falling_tree_fungus_end",1612
"dynamictrees:falling_tree_fungus_small_end",1613
"dynamictrees:falling_tree_fungus_start",1611
"dynamictrees:falling_tree_hit_water",1603
"dynamictrees:falling_tree_medium_end",1607
"dynamictrees:falling_tree_medium_start",1606
"dynamictrees:falling_tree_small_end",1609
"dynamictrees:falling_tree_small_end_bare",1610
"dynamictrees:falling_tree_small_hit_water",1608
"ecologics:camel_ambient",2191
"ecologics:camel_angry",2194
"ecologics:camel_chest",2197
"ecologics:camel_death",2192
"ecologics:camel_eat",2195
"ecologics:camel_hurt",2193
"ecologics:camel_step",2196
"ecologics:coconut_crab_ambient",2180
"ecologics:coconut_crab_death",2181
"ecologics:coconut_crab_hurt",2182
"ecologics:coconut_smash",2179
"ecologics:music_disc_coconut",2183
"ecologics:penguin_ambient",2185
"ecologics:penguin_death",2186
"ecologics:penguin_hurt",2187
"ecologics:squirrel_ambient",2188
"ecologics:squirrel_death",2189
"ecologics:squirrel_hurt",2190
"ecologics:thin_ice_crack",2184
"eggdelight:egg_crack",1827
"eggdelight:egg_pan_sizzle",1828
"enemyexpansion:starved.chomp",1859
"enemyexpansion:troll.death",1863
"enemyexpansion:troll.hurt",1861
"enemyexpansion:troll.idle",1860
"enemyexpansion:troll.roar",1862
"exoticbirds:entity.bluejay.call",1599
"exoticbirds:entity.budgerigar.call",1591
"exoticbirds:entity.cardinal.call",1587
"exoticbirds:entity.cassowary.call",1579
"exoticbirds:entity.cassowary.hurt",1580
"exoticbirds:entity.cockatoo.call",1598
"exoticbirds:entity.crane.call",1594
"exoticbirds:entity.duck.call",1585
"exoticbirds:entity.duck.hurt",1586
"exoticbirds:entity.flamingo.call",1567
"exoticbirds:entity.gouldianfinch.call",1595
"exoticbirds:entity.gull.call",1592
"exoticbirds:entity.heron.call",1597
"exoticbirds:entity.kookaburra.call",1589
"exoticbirds:entity.lyrebird.call",1593
"exoticbirds:entity.macaw.call",1581
"exoticbirds:entity.macaw.hurt",1582
"exoticbirds:entity.magpie.call",1574
"exoticbirds:entity.ostrich.call",1583
"exoticbirds:entity.ostrich.hurt",1584
"exoticbirds:entity.owl.call",1568
"exoticbirds:entity.owl.snowy.call",1569
"exoticbirds:entity.peafowl.call",1570
"exoticbirds:entity.peafowl.hurt",1571
"exoticbirds:entity.penguin.call",1590
"exoticbirds:entity.phoenix.call",1600
"exoticbirds:entity.phoenix.flame",1602
"exoticbirds:entity.phoenix.flap",1601
"exoticbirds:entity.pigeon.call",1596
"exoticbirds:entity.robin.call",1588
"exoticbirds:entity.swan.black.call",1576
"exoticbirds:entity.swan.call",1575
"exoticbirds:entity.swan.hurt",1577
"exoticbirds:entity.toucan.call",1578
"exoticbirds:entity.woodpecker.call",1573
"exoticbirds:entity.woodpecker.peck",1572
"farmersdelight:block.cabinet.close",2694
"farmersdelight:block.cabinet.open",2693
"farmersdelight:block.cooking_pot.boil",2690
"farmersdelight:block.cooking_pot.boil_soup",2691
"farmersdelight:block.cutting_board.knife",2692
"farmersdelight:block.skillet.add_food",2696
"farmersdelight:block.skillet.sizzle",2695
"farmersdelight:block.stove.crackle",2689
"farmersdelight:block.tomato_bush.pick_tomatoes",2699
"farmersdelight:entity.rotten_tomato.hit",2701
"farmersdelight:entity.rotten_tomato.throw",2700
"farmersdelight:item.skillet.attack.strong",2697
"farmersdelight:item.skillet.attack.weak",2698
"farmersrespite:block.kettle.whistle",1672
"fennecfox:entity.fennecfox.death",2712
"fennecfox:entity.fennecfox.idle",2713
"finsandtails:click",1847
"finsandtails:crab.crunch",1839
"finsandtails:crab.death",1838
"finsandtails:didgeridoo.play",1843
"finsandtails:horatee.ambient",1840
"finsandtails:horatee.death",1842
"finsandtails:horatee.hurt",1841
"finsandtails:jetpack.use",1846
"finsandtails:mudhorse.ambient",1831
"finsandtails:mudhorse.death",1829
"finsandtails:mudhorse.hurt",1830
"finsandtails:music_disc.crashing_tides",1844
"finsandtails:music_disc.whistling_wyverns",1845
"finsandtails:penglil.ambient",1837
"finsandtails:penglil.death",1835
"finsandtails:penglil.hurt",1836
"finsandtails:rubber_belly_glider.ambient",1834
"finsandtails:rubber_belly_glider.death",1832
"finsandtails:rubber_belly_glider.hurt",1833
"finsandtails:wandering_sailor.ambient",1851
"finsandtails:wandering_sailor.death",1853
"finsandtails:wandering_sailor.hurt",1852
"finsandtails:wandering_sailor.no",1856
"finsandtails:wandering_sailor.trade",1854
"finsandtails:wandering_sailor.yes",1855
"finsandtails:wherble.ambient",1850
"finsandtails:wherble.death",1848
"finsandtails:wherble.hurt",1849
"fishofthieves:block.fish_plaque.rotate",2823
"fishofthieves:block.fish_plaque.wax_off",2824
"fishofthieves:entity.ancientscale.death",2802
"fishofthieves:entity.ancientscale.flop",2803
"fishofthieves:entity.ancientscale.hurt",2804
"fishofthieves:entity.battlegill.death",2814
"fishofthieves:entity.battlegill.flop",2815
"fishofthieves:entity.battlegill.hurt",2816
"fishofthieves:entity.devilfish.death",2811
"fishofthieves:entity.devilfish.flop",2812
"fishofthieves:entity.devilfish.hurt",2813
"fishofthieves:entity.islehopper.death",2799
"fishofthieves:entity.islehopper.flop",2800
"fishofthieves:entity.islehopper.hurt",2801
"fishofthieves:entity.plentifin.death",2805
"fishofthieves:entity.plentifin.flop",2806
"fishofthieves:entity.plentifin.hurt",2807
"fishofthieves:entity.pondie.death",2796
"fishofthieves:entity.pondie.flop",2797
"fishofthieves:entity.pondie.hurt",2798
"fishofthieves:entity.splashtail.death",2793
"fishofthieves:entity.splashtail.flop",2794
"fishofthieves:entity.splashtail.hurt",2795
"fishofthieves:entity.stormfish.death",2820
"fishofthieves:entity.stormfish.flop",2821
"fishofthieves:entity.stormfish.hurt",2822
"fishofthieves:entity.wildsplash.death",2808
"fishofthieves:entity.wildsplash.flop",2809
"fishofthieves:entity.wildsplash.hurt",2810
"fishofthieves:entity.wrecker.death",2817
"fishofthieves:entity.wrecker.flop",2818
"fishofthieves:entity.wrecker.hurt",2819
"fruitfulfun:bee_shear",1621
"fruitfulfun:close_sound",1619
"fruitfulfun:equip_crown",1614
"fruitfulfun:gun_shoot_item",1615
"fruitfulfun:gun_stop",1617
"fruitfulfun:gun_working",1616
"fruitfulfun:open_sound",1618
"fruitfulfun:ritual_finish",1620
"galosphere:block.allurite.break",1722
"galosphere:block.allurite.fall",1726
"galosphere:block.allurite.hit",1725
"galosphere:block.allurite.place",1724
"galosphere:block.allurite.step",1723
"galosphere:block.allurite_cluster.break",1727
"galosphere:block.allurite_cluster.fall",1731
"galosphere:block.allurite_cluster.hit",1730
"galosphere:block.allurite_cluster.place",1729
"galosphere:block.allurite_cluster.step",1728
"galosphere:block.bowl_lichen.break",1737
"galosphere:block.bowl_lichen.fall",1741
"galosphere:block.bowl_lichen.hit",1740
"galosphere:block.bowl_lichen.place",1739
"galosphere:block.bowl_lichen.step",1738
"galosphere:block.combustion_table.break",1742
"galosphere:block.combustion_table.fall",1746
"galosphere:block.combustion_table.hit",1745
"galosphere:block.combustion_table.place",1744
"galosphere:block.combustion_table.step",1743
"galosphere:block.cured_membrane.break",1817
"galosphere:block.cured_membrane.fall",1821
"galosphere:block.cured_membrane.hit",1820
"galosphere:block.cured_membrane.place",1819
"galosphere:block.cured_membrane.step",1818
"galosphere:block.gilded_beads.break",1812
"galosphere:block.gilded_beads.fall",1816
"galosphere:block.gilded_beads.hit",1815
"galosphere:block.gilded_beads.place",1814
"galosphere:block.gilded_beads.step",1813
"galosphere:block.glow_ink_clumps.break",1747
"galosphere:block.glow_ink_clumps.fall",1751
"galosphere:block.glow_ink_clumps.hit",1750
"galosphere:block.glow_ink_clumps.place",1749
"galosphere:block.glow_ink_clumps.step",1748
"galosphere:block.lichen_cordyceps.break",1752
"galosphere:block.lichen_cordyceps.fall",1756
"galosphere:block.lichen_cordyceps.hit",1755
"galosphere:block.lichen_cordyceps.place",1754
"galosphere:block.lichen_cordyceps.step",1753
"galosphere:block.lichen_cordyceps_bulb.break",1757
"galosphere:block.lichen_cordyceps_bulb.fall",1761
"galosphere:block.lichen_cordyceps_bulb.hit",1760
"galosphere:block.lichen_cordyceps_bulb.place",1759
"galosphere:block.lichen_cordyceps_bulb.step",1758
"galosphere:block.lichen_moss.break",1762
"galosphere:block.lichen_moss.fall",1766
"galosphere:block.lichen_moss.hit",1765
"galosphere:block.lichen_moss.place",1764
"galosphere:block.lichen_moss.step",1763
"galosphere:block.lichen_roots.break",1767
"galosphere:block.lichen_roots.fall",1771
"galosphere:block.lichen_roots.hit",1770
"galosphere:block.lichen_roots.place",1769
"galosphere:block.lichen_roots.step",1768
"galosphere:block.lichen_shelf.break",1772
"galosphere:block.lichen_shelf.fall",1776
"galosphere:block.lichen_shelf.hit",1775
"galosphere:block.lichen_shelf.place",1774
"galosphere:block.lichen_shelf.step",1773
"galosphere:block.lumiere.break",1777
"galosphere:block.lumiere.compost",1684
"galosphere:block.lumiere.fall",1781
"galosphere:block.lumiere.hit",1780
"galosphere:block.lumiere.place",1779
"galosphere:block.lumiere.step",1778
"galosphere:block.lumiere_cluster.break",1782
"galosphere:block.lumiere_cluster.fall",1786
"galosphere:block.lumiere_cluster.hit",1785
"galosphere:block.lumiere_cluster.place",1784
"galosphere:block.lumiere_cluster.step",1783
"galosphere:block.monstrometer.activate",1687
"galosphere:block.monstrometer.break",1732
"galosphere:block.monstrometer.charge",1686
"galosphere:block.monstrometer.deactivate",1688
"galosphere:block.monstrometer.fall",1736
"galosphere:block.monstrometer.hit",1735
"galosphere:block.monstrometer.place",1734
"galosphere:block.monstrometer.step",1733
"galosphere:block.pink_salt.break",1797
"galosphere:block.pink_salt.fall",1801
"galosphere:block.pink_salt.hit",1800
"galosphere:block.pink_salt.place",1799
"galosphere:block.pink_salt.step",1798
"galosphere:block.pink_salt_chamber.deactivate",1721
"galosphere:block.pink_salt_chamber.summon",1720
"galosphere:block.pink_salt_cluster.break",1802
"galosphere:block.pink_salt_cluster.fall",1806
"galosphere:block.pink_salt_cluster.hit",1805
"galosphere:block.pink_salt_cluster.place",1804
"galosphere:block.pink_salt_cluster.step",1803
"galosphere:block.pink_salt_lamp.break",1807
"galosphere:block.pink_salt_lamp.fall",1811
