"Registry name","Map color (hex)","Map color (int)"
"additionallanterns:black_warped_lantern","#A7A7A7","10987431"
"additionallanterns:black_waxed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:black_waxed_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:black_waxed_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:black_waxed_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:black_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:blackstone_chain","#000000","0"
"additionallanterns:blackstone_lantern","#A7A7A7","10987431"
"additionallanterns:blue_amethyst_lantern","#A7A7A7","10987431"
"additionallanterns:blue_andesite_lantern","#A7A7A7","10987431"
"additionallanterns:blue_basalt_lantern","#A7A7A7","10987431"
"additionallanterns:blue_blackstone_lantern","#A7A7A7","10987431"
"additionallanterns:blue_bone_lantern","#A7A7A7","10987431"
"additionallanterns:blue_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:blue_cobbled_deepslate_lantern","#A7A7A7","10987431"
"additionallanterns:blue_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:blue_copper_lantern","#A7A7A7","10987431"
"additionallanterns:blue_crimson_lantern","#A7A7A7","10987431"
"additionallanterns:blue_dark_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:blue_deepslate_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:blue_diamond_lantern","#A7A7A7","10987431"
"additionallanterns:blue_diorite_lantern","#A7A7A7","10987431"
"additionallanterns:blue_emerald_lantern","#A7A7A7","10987431"
"additionallanterns:blue_end_stone_lantern","#A7A7A7","10987431"
"additionallanterns:blue_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:blue_gold_lantern","#A7A7A7","10987431"
"additionallanterns:blue_granite_lantern","#A7A7A7","10987431"
"additionallanterns:blue_iron_lantern","#A7A7A7","10987431"
"additionallanterns:blue_mossy_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:blue_netherite_lantern","#A7A7A7","10987431"
"additionallanterns:blue_normal_lantern","#A7A7A7","10987431"
"additionallanterns:blue_normal_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:blue_normal_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:blue_obsidian_lantern","#A7A7A7","10987431"
"additionallanterns:blue_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:blue_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:blue_purpur_lantern","#A7A7A7","10987431"
"additionallanterns:blue_quartz_lantern","#A7A7A7","10987431"
"additionallanterns:blue_red_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:blue_red_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:blue_smooth_stone_lantern","#A7A7A7","10987431"
"additionallanterns:blue_stone_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:blue_stone_lantern","#A7A7A7","10987431"
"additionallanterns:blue_warped_lantern","#A7A7A7","10987431"
"additionallanterns:blue_waxed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:blue_waxed_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:blue_waxed_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:blue_waxed_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:blue_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:bone_chain","#000000","0"
"additionallanterns:bone_lantern","#A7A7A7","10987431"
"additionallanterns:bricks_chain","#000000","0"
"additionallanterns:bricks_lantern","#A7A7A7","10987431"
"additionallanterns:brown_amethyst_lantern","#A7A7A7","10987431"
"additionallanterns:brown_andesite_lantern","#A7A7A7","10987431"
"additionallanterns:brown_basalt_lantern","#A7A7A7","10987431"
"additionallanterns:brown_blackstone_lantern","#A7A7A7","10987431"
"additionallanterns:brown_bone_lantern","#A7A7A7","10987431"
"additionallanterns:brown_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:brown_cobbled_deepslate_lantern","#A7A7A7","10987431"
"additionallanterns:brown_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:brown_copper_lantern","#A7A7A7","10987431"
"additionallanterns:brown_crimson_lantern","#A7A7A7","10987431"
"additionallanterns:brown_dark_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:brown_deepslate_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:brown_diamond_lantern","#A7A7A7","10987431"
"additionallanterns:brown_diorite_lantern","#A7A7A7","10987431"
"additionallanterns:brown_emerald_lantern","#A7A7A7","10987431"
"additionallanterns:brown_end_stone_lantern","#A7A7A7","10987431"
"additionallanterns:brown_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:brown_gold_lantern","#A7A7A7","10987431"
"additionallanterns:brown_granite_lantern","#A7A7A7","10987431"
"additionallanterns:brown_iron_lantern","#A7A7A7","10987431"
"additionallanterns:brown_mossy_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:brown_netherite_lantern","#A7A7A7","10987431"
"additionallanterns:brown_normal_lantern","#A7A7A7","10987431"
"additionallanterns:brown_normal_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:brown_normal_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:brown_obsidian_lantern","#A7A7A7","10987431"
"additionallanterns:brown_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:brown_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:brown_purpur_lantern","#A7A7A7","10987431"
"additionallanterns:brown_quartz_lantern","#A7A7A7","10987431"
"additionallanterns:brown_red_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:brown_red_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:brown_smooth_stone_lantern","#A7A7A7","10987431"
"additionallanterns:brown_stone_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:brown_stone_lantern","#A7A7A7","10987431"
"additionallanterns:brown_warped_lantern","#A7A7A7","10987431"
"additionallanterns:brown_waxed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:brown_waxed_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:brown_waxed_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:brown_waxed_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:brown_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:cobbled_deepslate_chain","#000000","0"
"additionallanterns:cobbled_deepslate_lantern","#A7A7A7","10987431"
"additionallanterns:cobblestone_chain","#000000","0"
"additionallanterns:cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:copper_chain","#000000","0"
"additionallanterns:copper_lantern","#A7A7A7","10987431"
"additionallanterns:crimson_chain","#000000","0"
"additionallanterns:crimson_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_amethyst_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_andesite_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_basalt_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_blackstone_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_bone_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_cobbled_deepslate_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_copper_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_crimson_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_dark_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_deepslate_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_diamond_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_diorite_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_emerald_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_end_stone_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_gold_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_granite_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_iron_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_mossy_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_netherite_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_normal_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_normal_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_normal_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_obsidian_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_purpur_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_quartz_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_red_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_red_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_smooth_stone_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_stone_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_stone_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_warped_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_waxed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_waxed_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_waxed_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_waxed_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:cyan_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:dark_prismarine_chain","#000000","0"
"additionallanterns:dark_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:deepslate_bricks_chain","#000000","0"
"additionallanterns:deepslate_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:diamond_chain","#000000","0"
"additionallanterns:diamond_lantern","#A7A7A7","10987431"
"additionallanterns:diorite_chain","#000000","0"
"additionallanterns:diorite_lantern","#A7A7A7","10987431"
"additionallanterns:emerald_chain","#000000","0"
"additionallanterns:emerald_lantern","#A7A7A7","10987431"
"additionallanterns:end_stone_chain","#000000","0"
"additionallanterns:end_stone_lantern","#A7A7A7","10987431"
"additionallanterns:exposed_copper_chain","#000000","0"
"additionallanterns:exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:gold_chain","#000000","0"
"additionallanterns:gold_lantern","#A7A7A7","10987431"
"additionallanterns:granite_chain","#000000","0"
"additionallanterns:granite_lantern","#A7A7A7","10987431"
"additionallanterns:gray_amethyst_lantern","#A7A7A7","10987431"
"additionallanterns:gray_andesite_lantern","#A7A7A7","10987431"
"additionallanterns:gray_basalt_lantern","#A7A7A7","10987431"
"additionallanterns:gray_blackstone_lantern","#A7A7A7","10987431"
"additionallanterns:gray_bone_lantern","#A7A7A7","10987431"
"additionallanterns:gray_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:gray_cobbled_deepslate_lantern","#A7A7A7","10987431"
"additionallanterns:gray_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:gray_copper_lantern","#A7A7A7","10987431"
"additionallanterns:gray_crimson_lantern","#A7A7A7","10987431"
"additionallanterns:gray_dark_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:gray_deepslate_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:gray_diamond_lantern","#A7A7A7","10987431"
"additionallanterns:gray_diorite_lantern","#A7A7A7","10987431"
"additionallanterns:gray_emerald_lantern","#A7A7A7","10987431"
"additionallanterns:gray_end_stone_lantern","#A7A7A7","10987431"
"additionallanterns:gray_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:gray_gold_lantern","#A7A7A7","10987431"
"additionallanterns:gray_granite_lantern","#A7A7A7","10987431"
"additionallanterns:gray_iron_lantern","#A7A7A7","10987431"
"additionallanterns:gray_mossy_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:gray_netherite_lantern","#A7A7A7","10987431"
"additionallanterns:gray_normal_lantern","#A7A7A7","10987431"
"additionallanterns:gray_normal_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:gray_normal_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:gray_obsidian_lantern","#A7A7A7","10987431"
"additionallanterns:gray_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:gray_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:gray_purpur_lantern","#A7A7A7","10987431"
"additionallanterns:gray_quartz_lantern","#A7A7A7","10987431"
"additionallanterns:gray_red_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:gray_red_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:gray_smooth_stone_lantern","#A7A7A7","10987431"
"additionallanterns:gray_stone_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:gray_stone_lantern","#A7A7A7","10987431"
"additionallanterns:gray_warped_lantern","#A7A7A7","10987431"
"additionallanterns:gray_waxed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:gray_waxed_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:gray_waxed_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:gray_waxed_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:gray_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:green_amethyst_lantern","#A7A7A7","10987431"
"additionallanterns:green_andesite_lantern","#A7A7A7","10987431"
"additionallanterns:green_basalt_lantern","#A7A7A7","10987431"
"additionallanterns:green_blackstone_lantern","#A7A7A7","10987431"
"additionallanterns:green_bone_lantern","#A7A7A7","10987431"
"additionallanterns:green_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:green_cobbled_deepslate_lantern","#A7A7A7","10987431"
"additionallanterns:green_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:green_copper_lantern","#A7A7A7","10987431"
"additionallanterns:green_crimson_lantern","#A7A7A7","10987431"
"additionallanterns:green_dark_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:green_deepslate_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:green_diamond_lantern","#A7A7A7","10987431"
"additionallanterns:green_diorite_lantern","#A7A7A7","10987431"
"additionallanterns:green_emerald_lantern","#A7A7A7","10987431"
"additionallanterns:green_end_stone_lantern","#A7A7A7","10987431"
"additionallanterns:green_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:green_gold_lantern","#A7A7A7","10987431"
"additionallanterns:green_granite_lantern","#A7A7A7","10987431"
"additionallanterns:green_iron_lantern","#A7A7A7","10987431"
"additionallanterns:green_mossy_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:green_netherite_lantern","#A7A7A7","10987431"
"additionallanterns:green_normal_lantern","#A7A7A7","10987431"
"additionallanterns:green_normal_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:green_normal_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:green_obsidian_lantern","#A7A7A7","10987431"
"additionallanterns:green_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:green_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:green_purpur_lantern","#A7A7A7","10987431"
"additionallanterns:green_quartz_lantern","#A7A7A7","10987431"
"additionallanterns:green_red_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:green_red_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:green_smooth_stone_lantern","#A7A7A7","10987431"
"additionallanterns:green_stone_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:green_stone_lantern","#A7A7A7","10987431"
"additionallanterns:green_warped_lantern","#A7A7A7","10987431"
"additionallanterns:green_waxed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:green_waxed_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:green_waxed_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:green_waxed_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:green_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:iron_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_amethyst_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_andesite_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_basalt_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_blackstone_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_bone_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_cobbled_deepslate_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_crimson_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_dark_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_deepslate_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_diamond_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_diorite_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_emerald_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_end_stone_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_gold_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_granite_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_iron_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_mossy_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_netherite_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_normal_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_normal_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_normal_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_obsidian_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_purpur_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_quartz_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_red_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_red_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_smooth_stone_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_stone_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_stone_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_warped_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_waxed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_waxed_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_waxed_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_waxed_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_blue_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_amethyst_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_andesite_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_basalt_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_blackstone_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_bone_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_cobbled_deepslate_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_crimson_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_dark_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_deepslate_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_diamond_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_diorite_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_emerald_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_end_stone_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_gold_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_granite_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_iron_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_mossy_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_netherite_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_normal_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_normal_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_normal_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_obsidian_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_purpur_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_quartz_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_red_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_red_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_smooth_stone_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_stone_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_stone_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_warped_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_waxed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_waxed_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_waxed_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_waxed_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:light_gray_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:lime_amethyst_lantern","#A7A7A7","10987431"
"additionallanterns:lime_andesite_lantern","#A7A7A7","10987431"
"additionallanterns:lime_basalt_lantern","#A7A7A7","10987431"
"additionallanterns:lime_blackstone_lantern","#A7A7A7","10987431"
"additionallanterns:lime_bone_lantern","#A7A7A7","10987431"
"additionallanterns:lime_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:lime_cobbled_deepslate_lantern","#A7A7A7","10987431"
"additionallanterns:lime_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:lime_copper_lantern","#A7A7A7","10987431"
"additionallanterns:lime_crimson_lantern","#A7A7A7","10987431"
"additionallanterns:lime_dark_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:lime_deepslate_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:lime_diamond_lantern","#A7A7A7","10987431"
"additionallanterns:lime_diorite_lantern","#A7A7A7","10987431"
"additionallanterns:lime_emerald_lantern","#A7A7A7","10987431"
"additionallanterns:lime_end_stone_lantern","#A7A7A7","10987431"
"additionallanterns:lime_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:lime_gold_lantern","#A7A7A7","10987431"
"additionallanterns:lime_granite_lantern","#A7A7A7","10987431"
"additionallanterns:lime_iron_lantern","#A7A7A7","10987431"
"additionallanterns:lime_mossy_cobblestone_lantern","#A7A7A7","10987431"
"additionallanterns:lime_netherite_lantern","#A7A7A7","10987431"
"additionallanterns:lime_normal_lantern","#A7A7A7","10987431"
"additionallanterns:lime_normal_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:lime_normal_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:lime_obsidian_lantern","#A7A7A7","10987431"
"additionallanterns:lime_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:lime_prismarine_lantern","#A7A7A7","10987431"
"additionallanterns:lime_purpur_lantern","#A7A7A7","10987431"
"additionallanterns:lime_quartz_lantern","#A7A7A7","10987431"
"additionallanterns:lime_red_nether_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:lime_red_sandstone_lantern","#A7A7A7","10987431"
"additionallanterns:lime_smooth_stone_lantern","#A7A7A7","10987431"
"additionallanterns:lime_stone_bricks_lantern","#A7A7A7","10987431"
"additionallanterns:lime_stone_lantern","#A7A7A7","10987431"
"additionallanterns:lime_warped_lantern","#A7A7A7","10987431"
"additionallanterns:lime_waxed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:lime_waxed_exposed_copper_lantern","#A7A7A7","10987431"
"additionallanterns:lime_waxed_oxidized_copper_lantern","#A7A7A7","10987431"
"additionallanterns:lime_waxed_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:lime_weathered_copper_lantern","#A7A7A7","10987431"
"additionallanterns:magenta_amethyst_lantern","#A7A7A7","10987431"
