"Registry name","Display name","Hunger","Saturation","Is meat","Fast to eat","Tags","Effects"
"alexsmobs:gongylidia","Gongylidia",3,1.2,"false","false","alexsmobs:leafcutter_ant_foodstuffs",""
"alexsmobs:kangaroo_burger","Kangaroo Burger",12,1.0,"true","false","",""
"alexsmobs:kangaroo_meat","Kangaroo Meat",4,0.6,"true","false","",""
"alexsmobs:lobster_tail","Lobster Tail",2,0.4,"true","false","alexsmobs:mudskipper_tameables, alexsmobs:seal_breedables, alexsmobs:mudskipper_breedables, alexsmobs:platypus_breedables, alexsmobs:mimic_octopus_tameables, alexsmobs:seagull_offerings, alexsmobs:mantis_shrimp_breedables, alexsmobs:platypus_foodstuffs",""
"alexsmobs:maggot","Maggot",1,0.2,"false","false","alexsmobs:mudskipper_breedables, alexsmobs:rain_frog_breedables, alexsmobs:capuchin_monkey_breedables, alexsmobs:mudskipper_foodstuffs, cookyourfood:raw_food_severe, alexsmobs:jerboa_breedables, alexsmobs:platypus_foodstuffs, alexsmobs:insect_items, alexsmobs:blue_jay_breedables, alexsmobs:anteater_foodstuffs, alexsmobs:blue_jay_foodstuffs, alexsmobs:warped_toad_foodstuffs, alexsmobs:roadrunner_breedables, alexsmobs:potoo_breedables",""
"alexsmobs:moose_ribs","Raw Moose Ribs",3,0.6,"true","false","alexsmobs:snow_leopard_breedables",""
"alexsmobs:mosquito_repellent_stew","Mosquito Repellent Stew",4,0.3,"false","true","","{[alexsmobs.potion.mosquito_repellent, Duration: 24000], Probability: 1.0}"
"alexsmobs:rainbow_jelly","Rainbow Jelly",1,0.2,"false","false","",""
"alexsmobs:raw_catfish","Raw Catfish",2,0.3,"true","false","alexsmobs:platypus_foodstuffs, cold_sweat:chameleon/taming, alexsmobs:seal_offerings, alexsmobs:caiman_breedables, quark:crab_tempt_items, minecraft:fishes, alexsmobs:shoebill_foodstuffs, alexsmobs:bald_eagle_foodstuffs, alexsmobs:caiman_foodstuffs",""
"alexsmobs:shrimp_fried_rice","Shrimp-Fried Rice",12,1.0,"false","false","",""
"alexsmobs:sopa_de_macaco","Sopa De Macaco",5,0.4,"true","false","",""
"aquaculture:algae","Algae",1,0.0,"false","false","cookyourfood:raw_food_light, aquaculture:tackle_box_green, salt:can_be_salted, wildernature:can_be_truffled",""
"aquaculture:arapaima","Arapaima",3,0.2,"false","false","naturalist:duck_food_items, alexsmobs:bald_eagle_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, alexsmobs:caiman_foodstuffs, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, alexsmobs:seal_offerings, aquaculturedelight:fillet_ten, forge:raw_fishes",""
"aquaculture:atlantic_cod","Atlantic Cod",3,0.2,"false","false","farmersdelight:cabbage_roll_ingredients, alexsmobs:platypus_foodstuffs, forge:raw_fishes/cod, minecraft:fishes, cold_sweat:chameleon/taming, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, aquaculturedelight:fillet_six, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:atlantic_halibut","Atlantic Halibut",3,0.2,"false","false","farmersdelight:cabbage_roll_ingredients, alexsmobs:platypus_foodstuffs, aquaculturedelight:fillet_fourteen, minecraft:fishes, cold_sweat:chameleon/taming, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes/halibut, forge:raw_fishes, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:atlantic_herring","Atlantic Herring",1,0.1,"false","false","farmersdelight:cabbage_roll_ingredients, alexsmobs:platypus_foodstuffs, cold_sweat:chameleon/taming, alexsmobs:caiman_foodstuffs, minecraft:fishes, forge:raw_fishes/herring, naturalist:duck_food_items, aquaculturedelight:fillet_one, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:bayad","Bayad",2,0.1,"false","false","farmersdelight:cabbage_roll_ingredients, forge:raw_fishes/catfish, alexsmobs:platypus_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, aquaculturedelight:fillet_four, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:blackfish","Blackfish",2,0.1,"false","false","naturalist:duck_food_items, alexsmobs:bald_eagle_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, alexsmobs:caiman_foodstuffs, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, alexsmobs:seal_offerings, aquaculturedelight:fillet_two, forge:raw_fishes",""
"aquaculture:bluegill","Bluegill",1,0.1,"false","false","naturalist:duck_food_items, alexsmobs:bald_eagle_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, alexsmobs:caiman_foodstuffs, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, alexsmobs:seal_offerings, aquaculturedelight:fillet_one, forge:raw_fishes",""
"aquaculture:boulti","Boulti",1,0.1,"false","false","naturalist:duck_food_items, alexsmobs:bald_eagle_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, alexsmobs:caiman_foodstuffs, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, alexsmobs:seal_offerings, aquaculturedelight:fillet_one, forge:raw_fishes",""
"aquaculture:brown_shrooma","Brown Shrooma",1,0.1,"false","false","alexsmobs:seal_offerings, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, minecraft:fishes, forge:raw_fishes, alexsmobs:caiman_foodstuffs, quark:crab_tempt_items, naturalist:duck_food_items, alexsmobs:platypus_foodstuffs, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:bald_eagle_foodstuffs, cold_sweat:chameleon/taming",""
"aquaculture:brown_trout","Brown Trout",2,0.1,"false","false","farmersdelight:cabbage_roll_ingredients, alexsmobs:platypus_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, aquaculturedelight:fillet_two, forge:raw_fishes/salmon, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:capitaine","Capitaine",3,0.2,"false","false","naturalist:duck_food_items, alexsmobs:bald_eagle_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, alexsmobs:caiman_foodstuffs, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, alexsmobs:seal_offerings, aquaculturedelight:fillet_ten, forge:raw_fishes",""
"aquaculture:carp","Carp",2,0.1,"false","false","farmersdelight:cabbage_roll_ingredients, alexsmobs:platypus_foodstuffs, cold_sweat:chameleon/taming, minecraft:fishes, alexsmobs:caiman_foodstuffs, forge:raw_fishes/carp, naturalist:duck_food_items, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, aquaculturedelight:fillet_two, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:catfish","Catfish",3,0.2,"false","false","farmersdelight:cabbage_roll_ingredients, forge:raw_fishes/catfish, alexsmobs:platypus_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, aquaculturedelight:fillet_six, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:fish_fillet_cooked","Cooked Fish Fillet",3,0.6,"false","false","wildernature:can_be_truffled, salt:can_be_salted",""
"aquaculture:fish_fillet_raw","Raw Fish Fillet",1,0.2,"false","false","",""
"aquaculture:gar","Gar",2,0.1,"false","false","naturalist:duck_food_items, alexsmobs:bald_eagle_foodstuffs, cold_sweat:chameleon/taming, minecraft:fishes, aquaculturedelight:fillet_four, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, alexsmobs:caiman_foodstuffs, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, alexsmobs:seal_offerings, forge:raw_fishes",""
"aquaculture:muskellunge","Muskellunge",2,0.1,"false","false","naturalist:duck_food_items, alexsmobs:bald_eagle_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, alexsmobs:caiman_foodstuffs, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, alexsmobs:seal_offerings, aquaculturedelight:fillet_three, forge:raw_fishes",""
"aquaculture:pacific_halibut","Pacific Halibut",3,0.2,"false","false","farmersdelight:cabbage_roll_ingredients, alexsmobs:platypus_foodstuffs, cold_sweat:chameleon/taming, minecraft:fishes, alexsmobs:caiman_foodstuffs, alexsmobs:seal_offerings, naturalist:duck_food_items, aquaculturedelight:fillet_twelve, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes/halibut, forge:raw_fishes, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:perch","Perch",1,0.1,"false","false","farmersdelight:cabbage_roll_ingredients, alexsmobs:platypus_foodstuffs, cold_sweat:chameleon/taming, alexsmobs:caiman_foodstuffs, minecraft:fishes, forge:raw_fishes/bass, naturalist:duck_food_items, aquaculturedelight:fillet_one, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:pink_salmon","Pink Salmon",2,0.1,"false","false","alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, forge:meats, forge:raw_fishes/salmon, aquaculturedelight:fillet_two, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, minecraft:fishes, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, forge:raw_fishes, alexsmobs:platypus_foodstuffs, cold_sweat:chameleon/taming, cookyourfood:ok_to_eat_raw, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items",""
"aquaculture:piranha","Piranha",1,0.1,"false","false","farmersdelight:cabbage_roll_ingredients, alexsmobs:platypus_foodstuffs, cold_sweat:chameleon/taming, minecraft:fishes, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items, aquaculturedelight:fillet_one, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, forge:raw_fishes/piranha, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:pollock","Pollock",2,0.1,"false","false","farmersdelight:cabbage_roll_ingredients, forge:raw_fishes/pollock, alexsmobs:platypus_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, aquaculturedelight:fillet_two, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:rainbow_trout","Rainbow Trout",2,0.1,"false","false","naturalist:duck_food_items, alexsmobs:bald_eagle_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, forge:raw_fishes/salmon, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, alexsmobs:caiman_foodstuffs, farmersdelight:cabbage_roll_ingredients, alexsmobs:seal_offerings, aquaculturedelight:fillet_two, forge:raw_fishes",""
"aquaculture:red_grouper","Red Grouper",2,0.1,"false","false","naturalist:duck_food_items, alexsmobs:bald_eagle_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, alexsmobs:caiman_foodstuffs, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, alexsmobs:seal_offerings, aquaculturedelight:fillet_three, forge:raw_fishes",""
"aquaculture:red_shrooma","Red Shrooma",1,0.1,"false","false","alexsmobs:seal_offerings, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, minecraft:fishes, forge:raw_fishes, alexsmobs:caiman_foodstuffs, quark:crab_tempt_items, naturalist:duck_food_items, alexsmobs:platypus_foodstuffs, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:bald_eagle_foodstuffs, cold_sweat:chameleon/taming",""
"aquaculture:smallmouth_bass","Smallmouth Bass",2,0.1,"false","false","farmersdelight:cabbage_roll_ingredients, alexsmobs:platypus_foodstuffs, cold_sweat:chameleon/taming, minecraft:fishes, forge:raw_fishes/bass, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, aquaculturedelight:fillet_two, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:sushi","Sushi",4,0.8,"false","false","salt:can_be_salted, wildernature:can_be_truffled, aquaculturedelight:kelp_rolls",""
"aquaculture:synodontis","Synodontis",1,0.1,"false","false","naturalist:duck_food_items, alexsmobs:bald_eagle_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, forge:meats, alexsmobs:shoebill_foodstuffs, alexsmobs:platypus_foodstuffs, quark:crab_tempt_items, alexsmobs:caiman_foodstuffs, farmersdelight:cabbage_roll_ingredients, cookyourfood:raw_food_normal, alexsmobs:seal_offerings, aquaculturedelight:fillet_one, forge:raw_fishes",""
"aquaculture:tambaqui","Tambaqui",2,0.1,"false","false","farmersdelight:cabbage_roll_ingredients, alexsmobs:platypus_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, cookyourfood:raw_food_normal, forge:raw_fishes, aquaculturedelight:fillet_three, forge:raw_fishes/piranha, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, forge:meats",""
"aquaculture:tuna","Tuna",3,0.2,"false","false","farmersdelight:cabbage_roll_ingredients, aquaculturedelight:fillet_ten, alexsmobs:platypus_foodstuffs, minecraft:fishes, cold_sweat:chameleon/taming, alexsmobs:caiman_foodstuffs, naturalist:duck_food_items, alexsmobs:seal_offerings, alexsmobs:shoebill_foodstuffs, forge:raw_fishes, forge:raw_fishes/tuna, quark:crab_tempt_items, alexsmobs:bald_eagle_foodstuffs, cookyourfood:ok_to_eat_raw, forge:meats",""
"aquaculture:turtle_soup","Turtle Soup",6,0.6,"false","false","wildernature:can_be_truffled, salt:can_be_salted",""
"aquaculturedelight:baked_pollock_with_carrots","Baked Pollock with Carrots",11,0.5,"false","false","",""
"aquaculturedelight:bass_stew","Bass Stew",7,0.6,"false","false","",""
"aquaculturedelight:buckling","Buckling",7,0.5,"false","false","",""
"aquaculturedelight:catfish_barbecue","Catfish Barbecue",5,0.6,"false","false","",""
"aquaculturedelight:cooked_small_turtle_meat","Cooked Small Turtle Meat",3,0.5,"true","false","aquaculturedelight:turtle_meats",""
"aquaculturedelight:frog_leg_soup","Frog Leg Soup",5,0.5,"false","false","",""
"aquaculturedelight:halaszle","Halaszle",10,0.6,"false","false","",""
"aquaculturedelight:halibut_with_tartar_sauce","Halibut with Tartar Sauce",14,0.5,"false","false","",""
"aquaculturedelight:jellyfish_jelly","Jellyfish Jelly",8,0.6,"false","false","",""
"aquaculturedelight:large_fish_with_vegetables","Large Fish With Vegetables",13,0.6,"false","false","",""
"aquaculturedelight:poor_fisher_chowder","Unlucky Fisher Chowder",5,0.5,"false","false","",""
"aquaculturedelight:raw_fish_fillet_roll","Raw Fish Fillet Roll",7,0.6,"false","false","aquaculturedelight:fish_rolls",""
"aquaculturedelight:rollmops","Rollmops",11,0.5,"false","false","",""
"aquaculturedelight:small_turtle_meat","Small Turtle Meat",1,0.5,"true","false","forge:raw_meats, forge:meats, aquaculturedelight:turtle_meats",""
"aquaculturedelight:tuna_spaghetti","Tuna Spaghetti",13,0.5,"false","false","",""
"aquaculturedelight:turtle_meat_dish","Turtule Meat Dish",13,0.7,"false","false","",""
"aquaculturedelight:unusual_fish_soup","Unusual Fish Soup",9,0.6,"false","false","",""
"arphex:bloodworm_grub","Bloodworm Grub",2,0.3,"true","false","",""
"arphex:burning_glands","Burning Glands",1,0.3,"false","true","",""
"arphex:locust_larvae","Locust Larvae",2,0.3,"true","false","",""
"arphex:maggot_grub","Maggot Grub",2,0.3,"true","true","",""
"arphex:roach_nymph","Roach Nymph",2,0.3,"true","true","",""
"bakery:apple_cupcake","Apple Cupcake",3,0.5,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:apple_pie_slice","Slice of Apple Pie",5,0.7,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:baguette","Baguette",5,1.2,"false","true","bakery:bread","{[effect.bakery.stuffed, Duration: 4200], Probability: 1.0}"
"bakery:braided_bread","Braided Bread",5,1.2,"false","true","bakery:bread","{[effect.bakery.stuffed, Duration: 4200], Probability: 1.0}"
"bakery:bread","Bakers Bread",5,1.2,"false","true","bakery:bread","{[effect.bakery.stuffed, Duration: 4200], Probability: 1.0}"
"bakery:bun","Bun",5,1.2,"false","true","bakery:bread","{[effect.bakery.stuffed, Duration: 2800], Probability: 1.0}"
"bakery:bundt_cake_slice","Slice of Bundt Cake",5,0.7,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:chocolate_cake_slice","Slice of Chocolate Cake",5,0.7,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:chocolate_gateau_slice","Slice of Chocolate Gateau",5,0.7,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:chocolate_glazed_cookie","Chocolate Glazed Cookie",3,0.5,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:chocolate_tart_slice","Slice of Chocolate Tart",5,0.7,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:chocolate_truffle","Chocolate Truffle",2,0.4,"false","true","bakery:chocolate, forge:chocolate, c:chocolate","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:cornet","Stuffed Cornet",3,0.5,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:croissant","Croissant",5,0.6,"false","true","","{[effect.bakery.stuffed, Duration: 900], Probability: 1.0}"
"bakery:crusty_bread","Crusty Bread",5,1.2,"false","true","bakery:bread","{[effect.bakery.stuffed, Duration: 4800], Probability: 1.0}"
"bakery:glowberry_pie_slice","Slice of Glowberry Tart",5,0.7,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:jam_roll","Jam Roll",3,0.5,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:linzer_tart_slice","Slice of Linzer Tart",5,0.7,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:misslilitu_biscuit","MissLilitu Biscuit",6,0.6,"false","true","","{[effect.bakery.stuffed, Duration: 900], Probability: 1.0}"
"bakery:oat","Oat",1,0.6,"false","false","c:wheat, bakery:wheat, forge:wheat",""
"bakery:pudding_slice","Slice of Pudding",5,0.7,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:sandwich","Sandwich",5,0.7,"false","true","","{[effect.bakery.stuffed, Duration: 900], Probability: 1.0}"
"bakery:strawberry","Strawberry",1,0.6,"false","false","minecraft:fox_food, forge:fruits, forge:fruits/strawberries, forge:berries, c:fruits, c:berries, c:fruits/strawberries, forge:fruits/sweet, forge:foods, c:fruits/sweet, c:foods",""
"bakery:strawberry_cake_slice","Slice of Strawberry Cake",5,0.7,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:strawberry_cupcake","Strawberry Cupcake",3,0.5,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:strawberry_glazed_cookie","Strawberry Glazed Cookie",3,0.5,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:sweetberry_cake_slice","Slice of Sweetberry Cake",5,0.7,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:sweetberry_cupcake","Sweetberry Cupcake",3,0.5,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:sweetberry_glazed_cookie","Sweetberry Glazed Cookie",3,0.5,"false","true","","{[effect.bakery.sweets, Duration: 900], Probability: 1.0}"
"bakery:toast","Toast",3,0.8,"false","true","bakery:bread","{[effect.bakery.stuffed, Duration: 5400], Probability: 1.0}"
"bakery:vegetable_sandwich","Vegetable Sandwich",5,0.7,"false","true","","{[effect.bakery.stuffed, Duration: 900], Probability: 1.0}"
"bakery:waffle","Waffle",5,0.5,"false","true","","{[effect.bakery.stuffed, Duration: 800], Probability: 1.0}"
"benssharks:cellophane_noodles","Cellophane Noodles",3,0.3,"false","false","",""
"benssharks:fish_broth","Fish Broth",7,1.0,"true","false","",""
"benssharks:fish_bucket","Fish Bucket",4,0.4,"true","false","",""
"benssharks:shark_fin_soup","Shark Fin Soup",10,2.5,"false","false","",""
"benssharks:silverfish","Silverfish",2,0.3,"false","false","",""
"berries_and_cherries:black_grapes","Dark Grapes",3,0.5,"false","false","",""
"berries_and_cherries:blueberry","Blueberry",3,0.5,"false","false","",""
"berries_and_cherries:blueberry_chunks","Blueberry Chunks",2,0.1,"false","false","",""
"berries_and_cherries:cherries","Cherries",4,0.4,"false","false","",""
