"ID","Registry name","Tags"
10,"terralith:ancient_sands","tumbleweed:whitelist, c:mesa, forge:overworld/in, forge:hot/climate, minecraft:spawns_warm_variant_frogs, terralith:all_terralith_biomes_no_mineshafts, forge:mesa, immersive_weathering:hot, minecraft:has_structure/mineshaft, forge:is_dry, c:in_overworld, immersive_weathering:has_lakebed, minecraft:has_structure/stronghold, minecraft:is_overworld, naturalist:has_cardinal, c:badlands, c:climate_dry, naturalist:has_rattlesnake, forge:is_general, croptopia:has_crop/saguaro, forge:is_hot, c:climate_hot, forge:dry/climate, forge:is_dry/overworld, forge:badlands, fishofthieves:spawns_battlegills, terralith:all_terralith_biomes, forge:is_hot/overworld, terralith:has_structure/rubble_desert, alexsmobs:spawns_desert_crocodiles, forge:is_generalcave, forge:is_sandy, fishofthieves:spawns_devilfish"
11,"spawn:ant_gardens","spawn:has_structure/ant_mount"
12,"biomeswevegone:araucaria_savanna","exoticbirds:is_cassowary_spawn, fishofthieves:spawns_battlegills, minecraft:has_structure/pillager_outpost, spawn:small_anthill_generates, forge:overworld/in, forge:is_sparse/overworld, vinery:spawns_savanna_grape, c:climate_dry, forge:dry/climate, minecraft:spawns_warm_variant_frogs, goodending:acacia_fallen_log_generates, goodending:light_gray_terracotta_granite_boulder_generates, naturalist:has_snail, biomeswevegone:savanna, immersive_weathering:has_sandy_dirt, naturalist:has_zebra, wildernature:spawns_bison, naturalist:has_lion, fishofthieves:spawns_devilfish, exoticbirds:is_desert_bird_spawn, naturalist:has_finch, forge:hot/climate, minecraft:has_structure/village_savanna, biomeswevegone:overworld, goodending:balmy_wildflower_generates, c:savanna, naturalist:has_hippo, wildernature:spawns_boar, exoticbirds:is_peafowl_spawn, naturalist:has_boar, forge:sparse/vegetation, minecraft:has_structure/trail_ruins, naturalist:has_giraffe, exoticbirds:is_dry_tropic_bird_spawn, wildernature:spawns_cassowary, biomeswevegone:density/sparse, minecraft:has_structure/stronghold, tumbleweed:whitelist, forge:savanna, bakery:spawns_strawberries, c:tree_savanna, exoticbirds:is_hummingbird_spawn, naturalist:has_cardinal, twigs:spawns_pebble, naturalist:has_rattlesnake, immersive_weathering:hot, biome_tag_villagers:villager_savanna, forge:savanna/tree, minecraft:is_savanna, c:climate_hot, minecraft:is_overworld, forge:is_sparse, naturalist:has_rhino, naturalist:has_elephant, immersive_weathering:has_earthen_clay, naturalist:has_vulture, c:in_overworld, c:vegetation_sparse"
13,"terralith:arid_highlands","croptopia:has_crop/olive, forge:is_plateau, naturalist:has_zebra, c:tree_savanna, forge:is_sparse, minecraft:is_overworld, minecraft:spawns_warm_variant_frogs, forge:is_dry, c:vegetation_sparse, croptopia:has_crop/leek, forge:is_generalnotemp, naturalist:has_lion, minecraft:has_structure/stronghold, c:savanna, naturalist:has_giraffe, croptopia:has_crop/rutabaga, minecraft:has_structure/village_savanna, croptopia:has_crop/turmeric, forge:is_generalcave, croptopia:has_crop/kiwi, croptopia:has_crop/hops, naturalist:has_snail, naturalist:has_vulture, immersive_weathering:hot, minecraft:has_structure/mineshaft, forge:is_dry/overworld, naturalist:has_boar, forge:sparse/vegetation, forge:overworld/in, naturalist:has_finch, fishofthieves:spawns_devilfish, c:in_overworld, forge:is_hot, forge:dry/climate, forge:savanna/tree, tumbleweed:whitelist, fishofthieves:spawns_battlegills, projectvibrantjourneys:has_logs/acacia, croptopia:has_crop/squash, terralith:has_structure/rubble_mesa, croptopia:has_crop/zucchini, forge:hot/climate, c:climate_dry, biome_tag_villagers:villager_savanna, naturalist:has_hippo, forge:savanna, naturalist:has_cardinal, spawn:small_anthill_generates, forge:is_generalnotempcave, croptopia:has_crop/yam, terralith:all_terralith_biomes_no_mineshafts, terralith:all_terralith_biomes, forge:is_sparse/overworld, forge:is_hot/overworld, forge:is_general, c:climate_hot, croptopia:has_crop/ginger, terralith:highlands, naturalist:has_elephant, naturalist:has_rattlesnake, naturalist:has_rhino"
14,"regions_unexplored:arid_mountains","vinery:spawns_taiga_grape, fishofthieves:spawns_battlegills, minecraft:has_structure/mineshaft, minecraft:has_structure/ruined_portal_mountain, forge:is_mountain, forge:is_generalcave, immersive_weathering:hot, forge:is_hot/overworld, forge:is_generalnotemp, naturalist:has_canary, fishofthieves:spawns_devilfish, forge:is_dry, minecraft:has_structure/pillager_outpost, twigs:schist_generates, forge:is_dry/overworld, minecraft:is_mountain, naturalist:has_bluejay, tumbleweed:whitelist, waddles:spawn_exclude, minecraft:snow_golem_melts, c:mountain, forge:is_generalnotempcave, naturalist:has_robin, vinery:spawns_grape, forge:mountain, c:in_overworld, forge:is_general, forge:is_mountainous, forge:is_peak, minecraft:stronghold_biased_to, naturalist:has_snail, minecraft:has_structure/stronghold, forge:is_hot, minecraft:is_overworld, forge:overworld/in"
15,"terralith:ashen_savanna","fishofthieves:spawns_battlegills, naturalist:has_canary, spawn:small_anthill_generates, forge:overworld/in, forge:is_slope, forge:is_general, forge:is_hot/overworld, c:wasteland, c:dead, c:climate_dry, forge:dry/climate, minecraft:spawns_warm_variant_frogs, naturalist:has_snail, forge:dead, naturalist:has_zebra, naturalist:has_lion, fishofthieves:spawns_devilfish, naturalist:has_finch, forge:slope/mountain, forge:hot/climate, forge:wasteland, c:savanna, forge:is_hot, naturalist:has_hippo, c:mountain_slope, naturalist:has_boar, forge:sparse/vegetation, naturalist:has_robin, naturalist:has_giraffe, forge:is_wasteland, minecraft:has_structure/stronghold, minecraft:has_structure/mineshaft, backported_wolves:spawns_spotted_wolf, tumbleweed:whitelist, forge:savanna, forge:is_dry, forge:is_dry/overworld, c:tree_savanna, naturalist:has_cardinal, twigs:schist_generates, terralith:all_terralith_biomes, naturalist:has_rattlesnake, fruitsdelight:compat/hot_dry, immersive_weathering:hot, biome_tag_villagers:villager_savanna, forge:savanna/tree, forge:is_generalcave, c:climate_hot, terralith:all_terralith_biomes_no_mineshafts, minecraft:is_overworld, naturalist:has_rhino, naturalist:has_elephant, naturalist:has_vulture, naturalist:has_bluejay, c:in_overworld, forge:is_mountain, croptopia:has_crop/pepper, c:vegetation_sparse"
16,"regions_unexplored:ashen_woodland","minecraft:without_wandering_trader_spawns, forge:overworld/in, minecraft:is_overworld, forge:is_rare, backported_wolves:spawns_spotted_wolf, forge:is_spooky, fishofthieves:spawns_devilfish, minecraft:without_zombie_sieges, minecraft:has_structure/mineshaft, minecraft:has_structure/stronghold, minecraft:without_patrol_spawns, fishofthieves:spawns_battlegills, forge:is_wasteland, c:in_overworld"
17,"biomeswevegone:aspen_boreal","fishofthieves:spawns_battlegills, forge:is_goblin, minecraft:has_structure/pillager_outpost, spawn:small_anthill_generates, forge:overworld/in, naturalist:has_lizard, naturalist:has_butterfly, forge:is_general, forge:is_dense, forge:is_dense/overworld, wildernature:spawns_owl, biomeswevegone:has_structure/aspen_manor, naturalist:has_snail, minecraft:is_forest, twigs:spawns_twig, delightful:salmonberry_spawns, forge:is_coniferous, forge:forest, immersive_weathering:has_ivy, fishofthieves:spawns_devilfish, naturalist:has_firefly, naturalist:has_finch, dynamictrees:is_bee_nest_rare, naturalist:has_bear, biomeswevegone:overworld, wildernature:spawns_turkey, wildernature:spawns_boar, exoticbirds:is_peafowl_spawn, naturalist:has_boar, forge:is_generalnotemp, forge:is_flutterfly, naturalist:has_robin, wildernature:spawns_deer, minecraft:has_structure/stronghold, minecraft:has_structure/mineshaft, naturalist:has_deer, biomeswevegone:coniferous, fishofthieves:spawns_pondies, minecraft:has_structure/village_taiga, bakery:spawns_strawberries, wildernature:spawns_hedgehog, exoticbirds:is_hummingbird_spawn, naturalist:has_cardinal, forge:is_generalnotempcave, naturalist:has_snake, forge:is_generalcave, goodending:spicy_wildflower_generates, biomeswevegone:forest, biomeswevegone:density/dense, minecraft:is_overworld, exoticbirds:is_tropic_bird_spawn, exoticbirds:is_forest_bird_spawn, c:in_overworld, minecraft:has_structure/ruined_portal_standard, crittersandcompanions:silk_cocoon_spawns, vinery:spawns_grape, waddles:spawn_exclude, c:forest"
18,"biomeswevegone:atacama_outback","forge:is_hot/overworld, sereneseasons:tropical_biomes, forge:is_generalcave, minecraft:is_overworld, forge:is_sparse/overworld, forge:is_sparse, forge:is_hot, biomeswevegone:climate/hot, biomeswevegone:overworld, forge:is_sandy, fishofthieves:spawns_devilfish, naturalist:has_cardinal, forge:is_desert, fishofthieves:spawns_battlegills, c:in_overworld, alexsmobs:spawns_desert_crocodiles, tumbleweed:whitelist, forge:overworld/in, biomeswevegone:sandy, naturalist:has_rattlesnake, immersive_weathering:hot, forge:is_dry, biomeswevegone:climate/dry, naturalist:has_tortoise, biomeswevegone:desert, minecraft:has_structure/stronghold, forge:is_dry/overworld, naturalist:has_lizard, biomeswevegone:density/sparse, forge:is_general"
19,"biomesoplenty:auroral_garden","forge:is_cold/overworld, forge:is_magical, alexsmobs:spawns_white_seals, forge:is_dense/overworld, forge:overworld/in, forge:is_generalcave, forge:is_goblin, waddles:spawn_include, c:in_overworld, minecraft:spawns_snow_foxes, minecraft:has_structure/stronghold, minecraft:has_structure/ruined_portal_standard, minecraft:is_overworld, forge:is_snowy, forge:is_cold, minecraft:spawns_white_rabbits, forge:is_dense, dynamictrees:is_bee_nest_uncommon, minecraft:stronghold_biased_to, backported_wolves:spawns_snowy_wolf, minecraft:spawns_cold_variant_frogs, fishofthieves:spawns_battlegills, forge:is_flutterfly, naturalist:has_bluejay, fishofthieves:spawns_devilfish, immersive_weathering:icy, forge:is_general"
20,"regions_unexplored:autumnal_maple_forest","exoticbirds:is_peafowl_spawn, fishofthieves:spawns_battlegills, c:in_overworld, naturalist:has_boar, wildernature:spawns_deer, naturalist:has_lizard, goodending:spicy_wildflower_generates, naturalist:has_snail, forge:is_cold/overworld, twigs:spawns_twig, forge:is_flutterfly, wildernature:spawns_hedgehog, wildernature:spawns_boar, minecraft:is_overworld, naturalist:has_bear, exoticbirds:is_tropic_bird_spawn, minecraft:is_forest, delightful:salmonberry_spawns, forge:is_generalcave, spawn:small_anthill_generates, forge:forest, fishofthieves:spawns_devilfish, minecraft:has_structure/mineshaft, waddles:spawn_exclude, dynamictrees:is_bee_nest_rare, wildernature:spawns_turkey, vinery:spawns_grape, naturalist:has_finch, exoticbirds:is_hummingbird_spawn, minecraft:has_structure/stronghold, naturalist:has_snake, minecraft:has_structure/ruined_portal_standard, crittersandcompanions:silk_cocoon_spawns, forge:is_general, forge:is_generalnotempcave, naturalist:has_firefly, naturalist:has_robin, immersive_weathering:has_ivy, wildernature:spawns_owl, bakery:spawns_strawberries, forge:overworld/in, forge:is_generalnotemp, forge:is_goblin, fishofthieves:spawns_pondies, minecraft:stronghold_biased_to, exoticbirds:is_forest_bird_spawn, naturalist:has_cardinal, c:forest, naturalist:has_deer, forge:is_cold, naturalist:has_butterfly"
21,"minecraft:badlands","forge:overworld/in, minecraft:is_badlands, forge:badlands, forge:is_general, minecraft:is_overworld, exoticbirds:is_desert_bird_spawn, forge:hot/climate, terralith:has_structure/rubble_mesa, naturalist:has_cardinal, minecraft:stronghold_biased_to, naturalist:has_vulture, vulture:has_vulture, alexsmobs:spawns_desert_crocodiles, exoticbirds:is_cassowary_spawn, forge:dry/climate, minecraft:has_structure/ruined_portal_mountain, forge:is_dry/overworld, c:badlands, forge:with_default_monster_spawns, scorpions:has_emperor_scorpions, naturalist:has_rattlesnake, minecraft:has_structure/mineshaft_mesa, sereneseasons:tropical_biomes, bloomingnature:overworld, immersive_weathering:has_lakebed, immersive_weathering:has_earthen_clay, minecraft:spawns_warm_variant_frogs, goodending:red_sandstone_boulder_generates, c:climate_dry, fishofthieves:spawns_devilfish, c:in_overworld, minecraft:has_structure/stronghold, minecraft:snow_golem_melts, forge:is_generalcave, immersive_weathering:hot, forge:is_dry, forge:mesa, alexsmobs:spawns_red_gusters, scorpions:has_brown_scorpions, forge:is_sandy, c:climate_hot, moremobvariants:wolf_striped_spawns, fishofthieves:spawns_battlegills, tumbleweed:whitelist, c:mesa"
22,"regions_unexplored:bamboo_forest","c:forest, naturalist:has_bear, vinery:spawns_grape, naturalist:has_lizard, fishofthieves:spawns_battlegills, wildernature:spawns_deer, fishofthieves:spawns_pondies, naturalist:has_butterfly, forge:is_dense, forge:is_generalnotempcave, minecraft:spawns_warm_variant_frogs, forge:is_generalcave, spawn:small_anthill_generates, minecraft:is_forest, c:in_overworld, minecraft:has_structure/stronghold, minecraft:has_structure/mineshaft, naturalist:has_deer, exoticbirds:is_hummingbird_spawn, wildernature:spawns_hedgehog, minecraft:has_structure/jungle_temple, forge:is_general, forge:is_flutterfly, naturalist:has_snake, exoticbirds:is_tropic_bird_spawn, forge:is_generalnotemp, goodending:spicy_wildflower_generates, twigs:spawns_twig, crittersandcompanions:silk_cocoon_spawns, forge:is_dense/overworld, minecraft:is_overworld, immersive_weathering:has_ivy, wildernature:spawns_boar, delightful:salmonberry_spawns, dynamictrees:is_bee_nest_rare, naturalist:has_finch, bakery:spawns_strawberries, naturalist:has_firefly, minecraft:has_structure/ruined_portal_jungle, wildernature:spawns_owl, minecraft:has_structure/ruined_portal_standard, naturalist:has_cardinal, naturalist:has_boar, forge:is_goblin, minecraft:stronghold_biased_to, wildernature:spawns_turkey, waddles:spawn_exclude, exoticbirds:is_forest_bird_spawn, fishofthieves:spawns_devilfish, exoticbirds:is_peafowl_spawn, naturalist:has_snail, naturalist:has_robin, forge:overworld/in, minecraft:increased_fire_burnout, forge:forest"
23,"minecraft:bamboo_jungle","minecraft:is_overworld, c:tree_jungle, bloomingnature:overworld, croptopia:has_crop/rhubarb, minecraft:spawns_warm_variant_frogs, immersive_weathering:wet, fishofthieves:spawns_battlegills, minecraft:stronghold_biased_to, forge:is_general, naturalist:has_tortoise, minecraft:has_structure/ruined_portal_jungle, fruitsdelight:plants/cranberry_biomes, c:climate_wet, minecraft:increased_fire_burnout, minecraft:is_jungle, fruitsdelight:plants/mango_biomes, exoticbirds:is_cassowary_spawn, minecraft:has_structure/jungle_temple, croptopia:has_crop/basil, terralith:has_structure/rubble_jungle, exoticbirds:is_tropic_bird_spawn, insects_recrafted:grassybiomes, c:jungle, immersive_weathering:hot, naturalist:has_lizard, forge:is_wet/overworld, moremobvariants:wolf_rusty_spawns, forge:jungle, croptopia:has_crop/rice, c:climate_hot, forge:is_rare, c:vegetation_dense, fruitsdelight:plants/lychee_biomes, croptopia:has_crop/greenonion, vinery:spawns_jungle_grape, forge:hot/climate, minecraft:has_structure/mineshaft, bakery:spawns_strawberries, croptopia:has_crop/pineapple, croptopia:has_crop/onion, upgrade_aquatic:has_feature/pickerelweed, fishofthieves:spawns_islehoppers, exoticbirds:is_hummingbird_spawn, naturalist:has_coral_snake, croptopia:has_crop/garlic, forge:is_wet, crittersandcompanions:silk_cocoon_spawns, immersive_weathering:has_loam, croptopia:has_crop/peanut, sereneseasons:tropical_biomes, forge:is_generalcave, croptopia:has_crop/honeydew, forge:dense/vegetation, forge:wet/climate, forge:is_hot, biome_tag_villagers:villager_jungle, croptopia:has_crop/coffee_beans, exoticbirds:is_peafowl_spawn, naturalist:has_hippo, goodending:balmy_wildflower_generates, croptopia:has_crop/vanilla, croptopia:has_crop/eggplant, fruitsdelight:vanilla/tropical, croptopia:has_crop/turnip, fruitsdelight:plants/durian_biomes, exoticbirds:is_pelican_spawn, projectvibrantjourneys:has_logs/jungle, fishofthieves:spawns_wildsplash, forge:overworld/in, forge:with_default_monster_spawns, forge:is_jungle, exoticbirds:is_dry_tropic_bird_spawn, fruitsdelight:plants/mangosteen_biomes, minecraft:has_structure/stronghold, forge:jungle/tree, fishofthieves:spawns_devilfish, fishofthieves:spawns_moss_islehoppers, moremobvariants:spawn_mossy_skeletons, c:in_overworld, forge:is_hot/overworld"
