"Mod name","Registry name","Potion Name","ID","Color","Is bad","Is beneficial"
"Unknown","alexsmobs:orcas_might","alexsmobs.potion.orcas_might",135,"0x004A4A52 (   4868690)","false","true"
"Unknown","alexsmobs:poison_resistance","alexsmobs.potion.poison_resistance",133,"0x0051FFAF (   5373871)","false","true"
"Unknown","alexsmobs:power_down","alexsmobs.potion.power_down",146,"0x00000000 (         0)","false","false"
"Unknown","alexsmobs:soulsteal","alexsmobs.potion.soulsteal",137,"0x0093FDFF (   9698815)","false","true"
"Unknown","alexsmobs:sunbird_blessing","alexsmobs.potion.sunbird_blessing",131,"0x00FFEAB9 (  16771769)","false","true"
"Unknown","alexsmobs:sunbird_curse","alexsmobs.potion.sunbird_curse",132,"0x00FFEAB9 (  16771769)","true","false"
"Unknown","alexsmobs:tigers_blessing","alexsmobs.potion.tigers_blessing",141,"0x00FFD75E (  16766814)","false","true"
"Unknown","armorweight:encumbrance","effect.armorweight.encumbrance",108,"0x005A6C81 (   5926017)","true","false"
"Unknown","arphex:abyssal_detector","effect.arphex.abyssal_detector",41,"0xFF990000 (  -6750208)","false","true"
"Unknown","arphex:blocking_effect","effect.arphex.blocking_effect",48,"0xFF1D0820 ( -14874592)","false","true"
"Unknown","arphex:chaos_controlled","effect.arphex.chaos_controlled",50,"0xFF660066 ( -10092442)","true","false"
"Unknown","arphex:chaos_target","effect.arphex.chaos_target",49,"0xFF660066 ( -10092442)","true","false"
"Unknown","arphex:chaos_targeted","effect.arphex.chaos_targeted",54,"0xFF330033 ( -13434829)","true","false"
"Unknown","arphex:constricted","effect.arphex.constricted",59,"0xFFCC6600 (  -3381760)","true","false"
"Unknown","arphex:ethereal_charge","effect.arphex.ethereal_charge",53,"0xFFFFFFFF (        -1)","false","true"
"Unknown","arphex:force_lift","effect.arphex.force_lift",47,"0xFF660066 ( -10092442)","true","false"
"Unknown","arphex:force_power","effect.arphex.force_power",46,"0xFF666666 ( -10066330)","false","true"
"Unknown","arphex:health_analysis","effect.arphex.health_analysis",57,"0xFFFFFFFF (        -1)","false","false"
"Unknown","arphex:invincibility_temp","effect.arphex.invincibility_temp",55,"0xFFFF0000 (    -65536)","false","true"
"Unknown","arphex:moth_curse","effect.arphex.moth_curse",38,"0xFF330000 ( -13434880)","true","false"
"Unknown","arphex:necrosis","effect.arphex.necrosis",42,"0xFF1A0F0F ( -15069425)","true","false"
"Unknown","arphex:repulsion","effect.arphex.repulsion",44,"0xFF003366 ( -16764058)","true","false"
"Unknown","arphex:spider_silk_touch","effect.arphex.spider_silk_touch",39,"0xFFCCCCCC (  -3355444)","false","true"
"Unknown","arphex:thunder_sense","effect.arphex.thunder_sense",43,"0xFFFFFFFF (        -1)","false","false"
"Unknown","arphex:void_cooldown","effect.arphex.void_cooldown",52,"0xFF660066 ( -10092442)","false","false"
"Unknown","arphex:void_protection","effect.arphex.void_protection",51,"0xFF220052 ( -14548910)","false","true"
"Unknown","arphex:void_repulsion","effect.arphex.void_repulsion",56,"0xFF000000 ( -16777216)","false","false"
"Unknown","arphex:voidlasher_chaos_control","effect.arphex.voidlasher_chaos_control",58,"0xFF332133 ( -13426381)","true","false"
"Unknown","arphex:vortex_cooldown","effect.arphex.vortex_cooldown",60,"0xFF660066 ( -10092442)","false","false"
"Unknown","arphex:webbed","effect.arphex.webbed",40,"0xFFCCCCCC (  -3355444)","true","false"
"Unknown","arphex:zoom","effect.arphex.zoom",45,"0xFF4D4D4D ( -11711155)","false","false"
"Unknown","bakery:stuffed","effect.bakery.stuffed",172,"0x00000000 (         0)","false","true"
"Unknown","bakery:sweets","effect.bakery.sweets",173,"0x00000000 (         0)","false","true"
"Unknown","benssharks:bleeding","effect.benssharks.bleeding",118,"0xFF660000 ( -10092544)","true","false"
"Unknown","benssharks:detached","effect.benssharks.detached",123,"0xFFFF0000 (    -65536)","false","true"
"Unknown","benssharks:dryout_effect","effect.benssharks.dryout_effect",120,"0xFF9A9692 (  -6646126)","true","false"
"Unknown","benssharks:jaws","effect.benssharks.jaws",119,"0xFF8DB1C9 (  -7491127)","false","true"
"Unknown","benssharks:parasite","effect.benssharks.parasite",122,"0xFF623838 ( -10340296)","true","false"
"Unknown","benssharks:prey","effect.benssharks.prey",124,"0xFFFF0000 (    -65536)","true","false"
"Unknown","benssharks:sealing","effect.benssharks.sealing",121,"0xFFCEB668 (  -3230104)","false","true"
"Unknown","cold_sweat:chill","effect.cold_sweat.chill",113,"0x0088BCE4 (   8961252)","false","true"
"Unknown","cold_sweat:grace","effect.cold_sweat.grace",115,"0x00703B2A (   7355178)","false","true"
"Unknown","cold_sweat:ice_resistance","effect.cold_sweat.ice_resistance",116,"0x007BBEE8 (   8109800)","false","true"
"Unknown","cold_sweat:warmth","effect.cold_sweat.warmth",114,"0x00703B2A (   7355178)","false","true"
"Unknown","ecologics:slippery","effect.ecologics.slippery",112,"0x00ACF0F2 (  11333874)","false","true"
"Unknown","enemyexpansion:bitten","effect.enemyexpansion.bitten",87,"0xFF45347F ( -12241793)","true","false"
"Unknown","enemyexpansion:cardiac","effect.enemyexpansion.cardiac",90,"0xFFFFFFFF (        -1)","true","false"
"Unknown","enemyexpansion:despawner","effect.enemyexpansion.despawner",88,"0xFFFF0033 (    -65485)","true","false"
"Unknown","enemyexpansion:explosive_launch","effect.enemyexpansion.explosive_launch",92,"0xFFFF891D (    -30435)","false","false"
"Unknown","enemyexpansion:metamorphosis","effect.enemyexpansion.metamorphosis",94,"0xFF000000 ( -16777216)","false","false"
"Unknown","enemyexpansion:morphlocked","effect.enemyexpansion.morphlocked",95,"0xFF000000 ( -16777216)","false","false"
"Unknown","enemyexpansion:overtime","effect.enemyexpansion.overtime",93,"0xFF00581E ( -16754658)","false","false"
"Unknown","enemyexpansion:sandstorm","effect.enemyexpansion.sandstorm",91,"0xFFFFCC00 (    -13312)","false","false"
"Unknown","enemyexpansion:swift_flight","effect.enemyexpansion.swift_flight",86,"0xFFCCFFFF (  -3342337)","false","true"
"Unknown","enemyexpansion:timer","effect.enemyexpansion.timer",89,"0xFFFFFFFF (        -1)","false","false"
"Unknown","farmersdelight:comfort","effect.farmersdelight.comfort",149,"0x00000000 (         0)","false","true"
"Unknown","farmersdelight:nourishment","effect.farmersdelight.nourishment",148,"0x00000000 (         0)","false","true"
"Unknown","farmersrespite:caffeinated","effect.farmersrespite.caffeinated",64,"0x00331800 (   3348480)","false","true"
"Unknown","fruitfulfun:mutagen_effect","effect.fruitfulfun.mutagen_effect",61,"0x00F3DCEB (  15981803)","false","false"
"Unknown","fruitsdelight:alienating","effect.fruitsdelight.alienating",81,"0xFFEDD955 (  -1189547)","false","true"
"Unknown","fruitsdelight:appetizing","effect.fruitsdelight.appetizing",69,"0xFFBF1D1D (  -4252387)","false","true"
"Unknown","fruitsdelight:astringent","effect.fruitsdelight.astringent",65,"0xFFE15F1E (  -2007266)","false","false"
"Unknown","fruitsdelight:brightening","effect.fruitsdelight.brightening",74,"0xFF5A32BF ( -10865985)","false","true"
"Unknown","fruitsdelight:chorus","effect.fruitsdelight.chorus",76,"0xFFD0A9D7 (  -3102249)","false","false"
"Unknown","fruitsdelight:cycling","effect.fruitsdelight.cycling",79,"0xFF89D90D (  -7743219)","false","true"
"Unknown","fruitsdelight:digesting","effect.fruitsdelight.digesting",77,"0xFFE08517 (  -2063081)","false","true"
"Unknown","fruitsdelight:disgusted","effect.fruitsdelight.disgusted",80,"0xFFEDD955 (  -1189547)","true","false"
"Unknown","fruitsdelight:heal_aura","effect.fruitsdelight.heal_aura",71,"0xFFE78264 (  -1605020)","false","true"
"Unknown","fruitsdelight:leaf_piercing","effect.fruitsdelight.leaf_piercing",78,"0xFF541135 ( -11267787)","false","true"
"Unknown","fruitsdelight:lozenge","effect.fruitsdelight.lozenge",68,"0xFFBECB32 (  -4273358)","false","true"
"Unknown","fruitsdelight:rage_aura","effect.fruitsdelight.rage_aura",70,"0xFFFFB229 (    -19927)","false","false"
"Unknown","fruitsdelight:recovering","effect.fruitsdelight.recovering",75,"0xFFF7970F (   -551153)","false","true"
"Unknown","fruitsdelight:refreshing","effect.fruitsdelight.refreshing",72,"0xFFFFE47A (     -7046)","false","true"
"Unknown","fruitsdelight:shrinking","effect.fruitsdelight.shrinking",67,"0xFFCF2626 (  -3201498)","false","true"
"Unknown","fruitsdelight:sliding","effect.fruitsdelight.sliding",66,"0xFFFBECD6 (   -267050)","false","false"
"Unknown","fruitsdelight:suspicious_smell","effect.fruitsdelight.suspicious_smell",82,"0xFFEDD955 (  -1189547)","false","true"
"Unknown","fruitsdelight:sweetening","effect.fruitsdelight.sweetening",73,"0xFFFDDC28 (   -140248)","false","true"
"Unknown","galosphere:astral","effect.galosphere.astral",83,"0x00C4B4B7 (  12891319)","false","true"
"Unknown","galosphere:block_bane","effect.galosphere.block_bane",84,"0x00742A07 (   7612935)","true","false"
"Unknown","goodending:contemporary_immunity","effect.goodending.contemporary_immunity",110,"0xFFFFFFFF (        -1)","false","true"
"Unknown","goodending:shattered_immunity","effect.goodending.shattered_immunity",111,"0xFFFFFFFF (        -1)","false","true"
"Unknown","goodending:strong_immunity","effect.goodending.strong_immunity",109,"0xFFFFFFFF (        -1)","false","true"
"Unknown","habitat:blast_endurance","effect.habitat.blast_endurance",35,"0x0080CC88 (   8440968)","false","true"
"Unknown","habitat:prickling","effect.habitat.prickling",36,"0x00586B1C (   5794588)","false","true"
"Unknown","habitat:prolongation","effect.habitat.prolongation",37,"0x00CC4158 (  13386072)","false","true"
"Unknown","insects_recrafted:poisonimmunity","effect.insects_recrafted.poisonimmunity",62,"0xFFDEFF7E (  -2162818)","false","true"
"Unknown","libraryferret:unbreakable_curse","effect.libraryferret.unbreakable_curse",63,"0x000AE9C4 (    715204)","false","false"
"Unknown","obscure_api:fury","effect.obscure_api.fury",105,"0xFFFF3366 (    -52378)","false","true"
"Unknown","obscure_api:knowledge","effect.obscure_api.knowledge",104,"0xFF3366FF ( -13408513)","false","true"
"Unknown","obscure_api:rush","effect.obscure_api.rush",106,"0xFF9933FF (  -6736897)","false","true"
"Unknown","quark:resilience","effect.quark.resilience",178,"0x005B1A04 (   5970436)","false","true"
"Unknown","scorpions:venom_coat_effect","effect.scorpions.venom_coat_effect",107,"0x0060D141 (   6345025)","false","true"
"Unknown","spartanweaponry:ender_disruption","effect.spartanweaponry.ender_disruption",152,"0x00408080 (   4227200)","true","false"
"Unknown","staminafortweakers:fatigue","effect.staminafortweakers.fatigue",0,"0x00CF6DCF (  13594063)","true","false"
"Unknown","staminafortweakers:tirelessness","effect.staminafortweakers.tirelessness",34,"0xFF5C1D0B ( -10740469)","false","true"
"Unknown","untameddelight:bear_power","effect.untameddelight.bear_power",150,"0x00000000 (         0)","false","true"
"Unknown","untameddelight:momora_mora","effect.untameddelight.momora_mora",151,"0x00000000 (         0)","false","false"
"Unknown","upgrade_aquatic:insomnia","effect.upgrade_aquatic.insomnia",174,"0x00A075B4 (  10515892)","true","false"
"Unknown","upgrade_aquatic:repellence","effect.upgrade_aquatic.repellence",176,"0x00B1F6E9 (  11663081)","false","false"
"Unknown","upgrade_aquatic:restfulness","effect.upgrade_aquatic.restfulness",175,"0x00B48675 (  11830901)","false","true"
"Unknown","upgrade_aquatic:vibing","effect.upgrade_aquatic.vibing",177,"0x00FFB5F4 (  16758260)","false","false"
"Unknown","vinery:armor_effect","effect.vinery.armor_effect",153,"0x0056CBFD (   5688317)","false","true"
"Unknown","vinery:climbing_effect","effect.vinery.climbing_effect",165,"0x00CC3300 (  13382400)","false","true"
"Unknown","vinery:creeper_effect","effect.vinery.creeper_effect",164,"0x00FF0000 (  16711680)","true","false"
"Unknown","vinery:double_jump","effect.vinery.double_jump",160,"0x0090F891 (   9500817)","false","true"
"Unknown","vinery:experience_effect","effect.vinery.experience_effect",159,"0x0000FF00 (     65280)","false","true"
"Unknown","vinery:frosty_armor","effect.vinery.frosty_armor",166,"0x0056CBFD (   5688317)","false","false"
"Unknown","vinery:health_effect","effect.vinery.health_effect",154,"0x0056CBFD (   5688317)","false","true"
"Unknown","vinery:jellie","effect.vinery.jellie",167,"0x0098D982 (  10017154)","false","true"
"Unknown","vinery:lava_walker","effect.vinery.lava_walker",168,"0x00CC3300 (  13382400)","false","true"
"Unknown","vinery:luck_effect","effect.vinery.luck_effect",155,"0x0056CBFD (   5688317)","false","true"
"Unknown","vinery:magnet","effect.vinery.magnet",169,"0x00B80070 (  12058736)","false","true"
"Unknown","vinery:party_effect","effect.vinery.party_effect",161,"0x00FF0000 (  16711680)","false","true"
"Unknown","vinery:resistance_effect","effect.vinery.resistance_effect",156,"0x0056CBFD (   5688317)","false","true"
"Unknown","vinery:shiraaz_effect","effect.vinery.shiraaz_effect",162,"0x00FF0000 (  16711680)","false","true"
"Unknown","vinery:staggering","effect.vinery.staggering",170,"0x0051297B (   5319035)","true","false"
"Unknown","vinery:teleport","effect.vinery.teleport",163,"0x00FF69B4 (  16738740)","false","true"
"Unknown","vinery:trading","effect.vinery.trading",158,"0x00FF0000 (  16711680)","false","true"
"Unknown","vinery:trippy","effect.vinery.trippy",157,"0x00B80070 (  12058736)","false","true"
"Unknown","vinery:water_walker","effect.vinery.water_walker",171,"0x00CC3300 (  13382400)","false","true"
"Unknown","wildberries:alleviate","effect.wildberries.alleviate",117,"0xFFC21632 (  -4057550)","false","true"
"Unknown","xaerominimap:no_cave_maps","effect.xaerominimap.no_cave_maps",102,"0xFF000000 ( -16777216)","false","false"
"Unknown","xaerominimap:no_cave_maps_harmful","effect.xaerominimap.no_cave_maps_harmful",103,"0xFF000000 ( -16777216)","true","false"
"Unknown","xaerominimap:no_entity_radar","effect.xaerominimap.no_entity_radar",98,"0xFF000000 ( -16777216)","false","false"
"Unknown","xaerominimap:no_entity_radar_harmful","effect.xaerominimap.no_entity_radar_harmful",99,"0xFF000000 ( -16777216)","true","false"
"Unknown","xaerominimap:no_minimap","effect.xaerominimap.no_minimap",96,"0xFF000000 ( -16777216)","false","false"
"Unknown","xaerominimap:no_minimap_harmful","effect.xaerominimap.no_minimap_harmful",97,"0xFF000000 ( -16777216)","true","false"
"Unknown","xaerominimap:no_waypoints","effect.xaerominimap.no_waypoints",100,"0xFF000000 ( -16777216)","false","false"
"Unknown","xaerominimap:no_waypoints_harmful","effect.xaerominimap.no_waypoints_harmful",101,"0xFF000000 ( -16777216)","true","false"
"Unknown","xaeroworldmap:no_cave_maps","effect.xaeroworldmap.no_cave_maps",127,"0xFF000000 ( -16777216)","false","false"
"Unknown","xaeroworldmap:no_cave_maps_harmful","effect.xaeroworldmap.no_cave_maps_harmful",128,"0xFF000000 ( -16777216)","true","false"
"Unknown","xaeroworldmap:no_world_map","effect.xaeroworldmap.no_world_map",125,"0xFF000000 ( -16777216)","false","false"
"Unknown","xaeroworldmap:no_world_map_harmful","effect.xaeroworldmap.no_world_map_harmful",126,"0xFF000000 ( -16777216)","true","false"
