"ID","Name","Description","Parent"
"alexsmobs:alexsmobs/devils_hole_pupfish_bucket","[One Chunk Fish]","Capture the rarest fish in a bucket.","alexsmobs:alexsmobs/strange_fish_finder"
"alexsmobs:alexsmobs/dimensional_carver","[Break On Through...]","Using the drops of the Void Worm, create the Dimensional Carver, which allows you to dig through the fabric of reality to return home at any given point.","alexsmobs:alexsmobs/void_worm_kill"
"alexsmobs:alexsmobs/echolocator","[Echo-muh-cation!]","Craft an Echolocator, which can reveal nearby caves","alexsmobs:alexsmobs/save_cachalot_whale"
"alexsmobs:alexsmobs/elephant_swag","[Dressed to Impress]","Place a colored carpet on an elephant","alexsmobs:alexsmobs/tame_elephant"
"alexsmobs:alexsmobs/emu","[It's an Emu!!!]","Encounter an Emu. Exercise caution.","alexsmobs:alexsmobs/kangaroo"
"alexsmobs:alexsmobs/emu_dodge","[Begun, The Emu War Has]","See an emu dodge a launched projectile.","alexsmobs:alexsmobs/emu"
"alexsmobs:alexsmobs/ender_flu","[Race Against The Clock]","Catch the Ender Flu effect. Cure it by eating many Chorus Fruit or drinking milk. Be sure not to let it run its toll!","alexsmobs:alexsmobs/enderiophage"
"alexsmobs:alexsmobs/enderiophage","[Ender Distancing]","Encounter an Enderiophage, a giant biomechanical construct found in the End Midlands. Be careful not to catch Ender Flu!","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/enderiophage_rocket","[Ad End-stra]","Craft an Enderiophage Rocket, which can be used in place of Firework Rockets when in the End.","alexsmobs:alexsmobs/capsid"
"alexsmobs:alexsmobs/endolocator","[No End In Sight]","Craft an Endolocator, which can reveal nearby End Portal Frames","alexsmobs:alexsmobs/echolocator"
"alexsmobs:alexsmobs/falconry_glove","[Hand In Glove]","Craft a Falconry Glove from Leather and Hair of Bear. Use it to pick up and launch tamed eagles!","alexsmobs:alexsmobs/tame_bald_eagle"
"alexsmobs:alexsmobs/falconry_hood","[Blindsided]","Craft a Falconry Hood from Leather and a Roadrunner Feather. Eagles wearing one can be manually directed!","alexsmobs:alexsmobs/falconry_glove"
"alexsmobs:alexsmobs/farseer","[Farland Security]","Encounter the Farseer, a monstrous defender of the world border.","alexsmobs:alexsmobs/shattered_dimensional_carver"
"alexsmobs:alexsmobs/fish_bones","[A Bone to Pick]","Obtain Fish Bones from a Skelewag.","alexsmobs:alexsmobs/skelewag"
"alexsmobs:alexsmobs/froststalker_helmet","[An Impostor Amoung Us]","Craft a Froststalker Helmet to walk amongst Froststalkers undetected.","alexsmobs:alexsmobs/froststalker_kill"
"alexsmobs:alexsmobs/froststalker_kill","[Ice Scream]","Slay a Froststalker.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/ghostly_pickaxe","[Ghost! Ghost! Toast?]","Obtain a Ghostly Pickaxe from an Underminer.","alexsmobs:alexsmobs/underminer"
"alexsmobs:alexsmobs/gongylidia","[Like a Truffle, with more Ant]","Harvest Gongylidia from a Leafcutter Ant Chamber underground. Place Shroomlight near the chamber to make sure you don't upset the locals","alexsmobs:alexsmobs/stomp_leafcutter_anthill"
"alexsmobs:alexsmobs/grizzly_bear","[Pic-A-Nic Basket?]","Encounter a Grizzly Bear","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/guster","[Eye of The Storm]","Encounter a Guster during a stormy day in the desert","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/gustmaker","[I Am Become Guster]","Craft a Gustmaker. Now you can make your own mini-storms!","alexsmobs:alexsmobs/guster"
"alexsmobs:alexsmobs/hemolymph_blaster","[Blast from the... Future?]","Craft a Hemolyph Blaster, the ultimate upgrade to the Blood Sprayer.","alexsmobs:alexsmobs/warped_mosco_kill"
"alexsmobs:alexsmobs/hummingbird_feeder","[Sugar... In Wator...]","Craft a Hummingbird Feeder in order to keep hummingbirds nearby","alexsmobs:alexsmobs/breed_hummingbird"
"alexsmobs:alexsmobs/kangaroo","[We do a little trolling...]","Encounter a Kangaroo","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/la_cucaracha","[Mariachi!]","Give a Maraca to a cockroach and enjoy the show. ¡La Cucaracha!","alexsmobs:alexsmobs/maraca"
"alexsmobs:alexsmobs/laviathan_four_passengers","[Mass Transit]","Ride a Laviathan with three other passengers.","alexsmobs:alexsmobs/straddle_saddle"
"alexsmobs:alexsmobs/laviathan_spyglass","[Loch-Nether Monster!]","Observe a Laviathan through the lens of a Spyglass.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/leafcutter_ant_pupa","[Ant Farm]","Obtain a Leafcutter Ant Pupa, which can be placed on dirt to start a Leafcutter Ant colony.","alexsmobs:alexsmobs/gongylidia"
"alexsmobs:alexsmobs/lost_tentacle","[A Small Price to Pay...]","Obtain a Lost Tentacle from a battle between two titans.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/maned_wolf_apple","[Hungry For Apples?]","Feed a Maned Wolf an apple.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/mantis_shrimp_bucket","[A Fistful of Water]","Sneak and give a tamed Mantis Shrimp a bucket of water so that it can live on land indefinitely","alexsmobs:alexsmobs/tame_mantis_shrimp"
"alexsmobs:alexsmobs/maraca","[Mariachi?]","Craft a Maraca with a Rattlesnake rattle","alexsmobs:alexsmobs/rattlesnake"
"alexsmobs:alexsmobs/murmur","[Flexible Schedule]","Encounter the Murmur, which is not as it seems.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/mysterious_worm","[Destroy The Child]","Create a Mysterious Worm by putting a Crimson Mosquito Larva in a Capsid.","alexsmobs:alexsmobs/capsid"
"alexsmobs:alexsmobs/novelty_hat","[He Was Number One!]","Obtain a Novelty Hat from a Skelewag.","alexsmobs:alexsmobs/skelewag_skull"
"alexsmobs:alexsmobs/orcas_might","[Free Willy]","Be granted a blessing from a wild Orca","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/pocket_sand","[Pocket Sand!]","Craft a Pocket Of Sand. Sha-sha!","alexsmobs:alexsmobs/guster"
"alexsmobs:alexsmobs/rainbow_glass","[Rainbow Road]","Craft Rainbow Glass from Rainbow Jelly and Glass.","alexsmobs:alexsmobs/rainbow_jelly"
"alexsmobs:alexsmobs/rainbow_jelly","[Taste the Rainbow]","Obtain Rainbow Jelly from a Comb Jelly. Use a sponge if you don't like what happens...","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/rattlesnake","[No Step on Snake]","Encounter a Rattlesnake","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/rocky_chestplate","[You're too Slow!]","Craft a Rock Shell Chestplate to roll into a ball.","alexsmobs:alexsmobs/rocky_shell"
"alexsmobs:alexsmobs/rocky_roller","[KEEP ROLLIN' ROLLIN' ROLLIN']","Encounter a Rocky Roller in the dripstone caves.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/rocky_shell","[Rocks Off!]","Obtain a Rocky Shell from slaying a Rocky Roller.","alexsmobs:alexsmobs/rocky_roller"
"alexsmobs:alexsmobs/root","[Alex's Mobs]","Discover the unique creatures of the world","-"
"alexsmobs:alexsmobs/save_cachalot_whale","[Save the Whales!]","Save a beached Cachalot Whale by pushing it into the water, and then have it reward you by coughing up some Ambergris","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/sculk_boomer","[Ok Boomer]","Craft a Sculk Boomer using the souls of a few Skreechers.","alexsmobs:alexsmobs/skreecher"
"alexsmobs:alexsmobs/seagull_steal","[Mine? Mine? Mine?]","Have food stolen from your inventory by a seagull.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/shattered_dimensional_carver","[Ticket to the End of the World]","Shatter a Dimensional Carver by placing it in a Capsid. Instead of opening a portal home, it will now open a portal one million blocks in any direction.","alexsmobs:alexsmobs/dimensional_carver"
"alexsmobs:alexsmobs/skelewag","[We Just Want our Hat Back]","Encounter a Skelewag near a sunken ship.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/skelewag_skull","[Smitty WerbenJagerManJensen]","Take a sword-like skull from a Skelewag.","alexsmobs:alexsmobs/skelewag"
"alexsmobs:alexsmobs/skreecher","[Sculk Cymbal]","Encounter the Skreecher, a loud and obnoxious sculk monster.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/skunk","[Hippie Smell]","Get sprayed by a Skunk.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/sopa_de_macaco","[Uma Delicia]","Craft sopa de macaco with a banana peel","alexsmobs:alexsmobs/tame_capuchin"
"alexsmobs:alexsmobs/soul_heart","[The Soul-ly Ghost]","Obtain a soul heart from slaying a bloated Soul Vulture","alexsmobs:alexsmobs/soul_vulture"
"alexsmobs:alexsmobs/soul_vulture","[Fetch Me Their Souls!]","Encounter a Soul Vulture in the nether","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/spectre","[The Iron Curtain]","Lure a Spectre in the end with a Soul Heart. Use a lead on them to hitch a ride!","alexsmobs:alexsmobs/soul_heart"
"alexsmobs:alexsmobs/spiked_scute","[Shear the Scute]","Shear a moss-covered Alligator Snapping Turtle and obtain a Spiked Scute","alexsmobs:alexsmobs/alligator_snapping_turtle"
"alexsmobs:alexsmobs/spiked_turtle_shell","[Turtle-ology Majors Be Like]","Craft a Spiked Turtle Shell","alexsmobs:alexsmobs/spiked_scute"
"alexsmobs:alexsmobs/squid_grapple","[... for Salvation]","Craft a Grappling Squok from Lost Tentacles, a crossbow and copper ingots.","alexsmobs:alexsmobs/lost_tentacle"
"alexsmobs:alexsmobs/stink_bottle","[Gamer Skunk Bath Water]","Capture skunk spray using a glass bottle.","alexsmobs:alexsmobs/skunk"
"alexsmobs:alexsmobs/stink_ray","[I SAID DART GUN!]","Craft a Stink Ray.","alexsmobs:alexsmobs/stink_bottle"
"alexsmobs:alexsmobs/stomp_leafcutter_anthill","[Ant-Agonizer]","Stomp on a Leafcutter Anthill - beware the angry denizens within!","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/straddle_saddle","[The Family Sedan]","Craft a Straddlite Saddle. Don't forget the trim!","alexsmobs:alexsmobs/straddler"
"alexsmobs:alexsmobs/straddleboard","[Surf Wax America]","Craft a Straddleboard from some Netherite and Straddlerite.","alexsmobs:alexsmobs/straddler"
"alexsmobs:alexsmobs/straddler","[Straddle My Ol' Saddle]","Encounter a Straddler in the Basalt Deltas.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/stradpole_feed","[Like Father]","Feed a Stradpole some Mosquito Larva, in hopes of turning it into a Straddler.","alexsmobs:alexsmobs/straddler"
"alexsmobs:alexsmobs/strange_fish_finder","[The Quest for the Best]","Craft a Strange Fish Finder from slimeballs, Fish Bones and an Echolocator.","alexsmobs:alexsmobs/fish_bones"
"alexsmobs:alexsmobs/sunbird_blessing","[The Power of the Sun]","Receive a blessing from the great and noble sunbird","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_bald_eagle","[Freedom Intensifies]","Tame a bald eagle with fish oil.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_capuchin","[Monkey Business]","Tame a capuchin monkey with bananas","alexsmobs:alexsmobs/banana"
"alexsmobs:alexsmobs/tame_cosmaw","[Its a Fish? Its a Bug? What is it?]","Tame a Cosmaw by feeding it Cosmic Cod.","alexsmobs:alexsmobs/cosmic_cod"
"alexsmobs:alexsmobs/tame_elephant","[Stampy!]","Tame an elephant by feeding it Acacia Blossoms","alexsmobs:alexsmobs/acacia_blossom"
"alexsmobs:alexsmobs/tame_elephant_tusked","[The Biggest Land Mammal]","Tame a tusked elephant when it is a baby","alexsmobs:alexsmobs/tame_elephant"
"alexsmobs:alexsmobs/tame_flutter","[A Picky Fellow]","Tame a Flutter by giving it multiple kinds of flowers.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_gorilla","[In Memoriam]","Tame a gorilla with bananas","alexsmobs:alexsmobs/banana"
"alexsmobs:alexsmobs/tame_grizzly_bear","[Arcturus!]","Tame a Grizzly Bear by feeding it honey and salmon","alexsmobs:alexsmobs/grizzly_bear"
"alexsmobs:alexsmobs/tame_mantis_shrimp","[Shrimp Friend]","Tame a Mantis Shrimp with many feedings of Tropical Fish","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tame_tarantula_hawk","[Big Iron]","Tame a Tarantula Hawk by feeding it Spider Eyes.","alexsmobs:alexsmobs/tarantula_hawk"
"alexsmobs:alexsmobs/tame_warped_toad","[It Is Wednesday]","Tame a Warped Toad, the perfect defense against any giant bug, with some larvae","alexsmobs:alexsmobs/crimson_mosquito_larva"
"alexsmobs:alexsmobs/tarantula_hawk","[Rigged from the Start]","Encounter a Tarantula Hawk in a desert.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/tigers_blessing","[Eye of the Tiger]","Receive a Tiger's Blessing after feeding it Porkchops, Chicken or other meats.","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/transmutation_table","[Reality Can Be Whatever I Want]","Craft a Transmutation Table to convert materials into almost anything.","alexsmobs:alexsmobs/farseer"
"alexsmobs:alexsmobs/transmute_1000_items","[Nonequivalent Exchange]","Transmute 1000 items using the same Transmutation Table.","alexsmobs:alexsmobs/transmutation_table"
"alexsmobs:alexsmobs/underminer","[Who Undermines the Underminer?]","Break the block an Underminer is mining, revealing a hidden ore","alexsmobs:alexsmobs/root"
"alexsmobs:alexsmobs/void_worm_kill","[Wormy]","Destroy the Void Worm.","alexsmobs:alexsmobs/void_worm_summon"
"alexsmobs:alexsmobs/void_worm_split","[Should've Gone for the Head]","Split a void worm in half by attacking one of its body segments. More worms, more problems!","alexsmobs:alexsmobs/void_worm_summon"
"alexsmobs:alexsmobs/void_worm_summon","[A Soul for a Soul]","Toss the Mysterious Worm into the void of the End, and prepare to meet the Void Worm.","alexsmobs:alexsmobs/mysterious_worm"
"alexsmobs:alexsmobs/warped_mosco_kill","[Destroyer of Chads]","Slay the Warped Mosco, the swole defender of the Warped Forest.","alexsmobs:alexsmobs/crimson_mosquito_sick"
"arphex:abyssal_blade_crafted","[Superweapon]","Obtained the Abyssal Blade, a sword of unlimited power","arphex:moth_kill"
"arphex:abyssal_pick_craft","[Ultimate Tool]","Obtained the Abyssal Pickaxe, an ultimate tool for exploring the caves","arphex:moth_kill"
"arphex:ascendant_staff_craft","[Antigravity]","Obtained the Ascendant Staff, gaining levitation abilities.","arphex:scorpioid_killed"
"arphex:bucket_of_disease","[Diseased Bucket]","Obtained a bucket of maggots or cockroaches","arphex:moth_ward"
"arphex:butterfly_rider","[Butterfly Rider]","Found, tamed, and rode a rare giant butterfly.","minecraft:adventure/kill_a_mob"
"arphex:chaos_gauntlet_craft","[Chaos Controller]","Obtained the Chaos Gauntlet, gaining the power to force mobs to fight for you.","arphex:voidlasher_killed"
"arphex:crab_kill","[Destroyer of Titan]","Killed the crab constrictor, taking the crusher claw as a reward","arphex:moth_ward"
"arphex:darkness_bane","[Darkness Begone]","Obtained a Bane of the Darkness, granting immunity to darkness effect","arphex:moth_ward"
"arphex:darkness_control","[Darkness Control]","Gave a Core of Eternal Suffering to a Spider Moth Larvae, transforming it into a permanent tamed Spider Moth","arphex:destroyer"
"arphex:destroyer","[Destroyer]","Killed the all-powerful Tormentor boss, taking the Core of Eternal Suffering as a reward","arphex:destroyer_of_suffering"
"arphex:destroyer_of_suffering","[Destroyer of Suffering]","Defeated the three demonic insectoid bosses of each dimension.","arphex:moth_kill"
"arphex:ethereal_staff_craft","[Antiphysical]","Obtained the Ethereal Staff, gaining incorporeal abilities to walk through solid walls and teleport back to previous locations","arphex:scorpioid_killed"
"arphex:flamethrower","[Flamethrower]","Crafted a flamethrower from fire ant glands, blaze materials, chitin, and netherite.","minecraft:adventure/kill_a_mob"
"arphex:force_gauntlet_craft","[Use the Force]","Obtained the Force Gauntlet, gaining the power to use multiple forms of telekinesis.","arphex:voidlasher_killed"
"arphex:huntsman_jar","[Tamed Terror]","Tamed a huntsman spider and stored it in a jar","arphex:moth_ward"
"arphex:infernal_power","[Infernal]","Smelted a legendary infernal ingot, used to craft armor with limitless power fueled by the Spider Moth and Scorpioid Bloodluster","arphex:scorpioid_killed"
"arphex:moth_kill","[Destroyer of Darkness]","Killed the spider moth or four centipede evictor bosses, taking the abyssal crystal as a reward","arphex:moth_ward"
"arphex:moth_ward","[Moth to a flame]","Warded off the spider moth dweller.. but for how long?","minecraft:adventure/kill_a_mob"
"arphex:scorpioid_killed","[Destroyer of Hell]","Killed the scorpioid bloodluster or four spider prowlers, taking the fire opal gem as a reward","arphex:moth_ward"
"arphex:spiderman","[Spiderman]","Obtained a web sling grappling hook","arphex:moth_ward"
"arphex:super_immunity","[Super Immunity]","Obtained the Mantle of Vitality, providing immunity to poison and withering","arphex:moth_ward"
"arphex:true_power","[True Power]","Crafted the omnipotent Abyss Ascendant blade. A deadly blade capable of providing the power of flight, fueled by the Core of Eternal Suffering, Abyssal Blades, and Ascendant Staffs","arphex:destroyer"
"arphex:umbric_power","[Umbric]","Smelted a legendary umbric ingot, used to craft armor with limitless power fueled by the Scorpioid Bloodluster and Draconic Voidlasher","arphex:voidlasher_killed"
"arphex:voidlasher_killed","[Destroyer of Void]","Killed the draconic voidlasher or four (COMING SOON), taking the void geode as a reward","arphex:moth_ward"
"bakery:main/cut_strawberry_cake","[Cake for everyone!]","Cut a Strawberry Cake","bakery:main/get_all_cakes"
"bakery:main/eat_bread","[Dive into Doughy Delights]","Eat Bread","bakery:main/place_stove"
"bakery:main/eat_pudding","[Ewww, slime]","Eat a Slice of Pudding","bakery:main/place_cooking_pot"
"bakery:main/eat_sandwich","[Sandwich Snack]","Eat a Sandwich","bakery:main/get_all_baked_goods"
"bakery:main/find_wild_crops","[Wild Crops]","Find Wild Crops and collect them","bakery:main/root"
"bakery:main/get_all_baked_goods","[Bake 'Em All: Collect Every Treat!]","Craft and Collect all baked Goods","bakery:main/eat_bread"
"bakery:main/get_all_caked_goods","[Cupcake Master]","Craft and collect all Cupcakes, Sweets and Cookies","bakery:main/place_baker_station"
"bakery:main/get_all_cakes","[Cake Master]","Craft and collect all Cakes","bakery:main/place_baker_station"
"bakery:main/get_all_jams","[Jammin' Time]","Craft and Collect all Jams","bakery:main/place_cooking_pot"
"bakery:main/get_everything","[What a Long, Strange Trip It's Been]","Craft and collect all Bakery Goods","bakery:main/get_yeast"
"bakery:main/get_misslilitu_biscuit","[She clearly doesn't look like that!]","Get a MissLilitu Biscuit","bakery:main/place_stove"
"bakery:main/get_yeast","[Yeast of your worries, doughn't worry, be happy!]","Get Yeast","bakery:main/root"
"bakery:main/place_baker_station","[Let's Get Caking!]","Craft and place a Caking Station","bakery:main/get_yeast"
"bakery:main/place_bread_crate","[Bread Feast]","Craft and place a Bread Crate","bakery:main/eat_bread"
"bakery:main/place_cooking_pot","[Tiny Treats: Crafting a Small Cooking Pot]","Craft a Small Cooking Pot and place it","bakery:main/place_stove"
"bakery:main/place_oat_crate","[A Bag full of Oat!]","Craft and place a Bag of Oat","bakery:main/find_wild_crops"
"bakery:main/place_sign","[Come on in!]","Craft and place a Street Sign","bakery:main/root"
"bakery:main/place_stove","[Let's Get Baking!]","Craft and place a Stove","bakery:main/get_yeast"
"bakery:main/place_strawberry_crate","[A Bag full of Strawberries!]","Craft and place a Bag of Strawberries","bakery:main/find_wild_crops"
"bakery:main/ride_a_boat_with_a_baker","[Boating Adventure: Shared Adventures]","Share your boat with a Wandering Baker","bakery:main/spyglass_at_baker"
"bakery:main/root","[Welcome to Bakery]","Thank you for downloading and playing Bakery","-"
"bakery:main/spyglass_at_baker","[Is that a GIANT?!]","Look at a Wandering Baker through a Spyglass","bakery:main/place_sign"
"bakery:main/use_bread_on_wall_display","[The best-selling bread: That one!]","Place a bread in a wall display","bakery:main/place_sign"
"beautify:blinds","beautify:blinds","<null>","minecraft:recipes/root"
"beautify:bookstack","beautify:bookstack","<null>","minecraft:recipes/root"
"beautify:botanist_workbench","beautify:botanist_workbench","<null>","minecraft:recipes/root"
"beautify:candelabras","beautify:candelabras","<null>","minecraft:recipes/root"
"beautify:frames","beautify:frames","<null>","minecraft:recipes/root"
"beautify:hanging_pot","beautify:hanging_pot","<null>","minecraft:recipes/root"
"beautify:iron_blinds","beautify:iron_blinds","<null>","minecraft:recipes/root"
"beautify:lamp_jar","beautify:lamp_jar","<null>","minecraft:recipes/root"
"beautify:lamps","beautify:lamps","<null>","minecraft:recipes/root"
"beautify:progression/blinds","[Blinded by the lights]","Craft blinds to filter some light","beautify:progression/root"
"beautify:progression/bookstack","[No shelf organization]","Who needs shelves anyways? Craft a bookstack","beautify:progression/root"
"beautify:progression/hanging_pot","[Left hanging]","Craft a hanging pot","beautify:progression/rope"
"beautify:progression/light","[Lit!]","Craft a lightsource from Beautify","beautify:progression/root"
"beautify:progression/root","[Let's Beautify!]","The devil is in the detailing","-"
"beautify:progression/rope","[Could you knot?]","Tie String together to receive Rope","beautify:progression/root"
"beautify:rope","beautify:rope","<null>","minecraft:recipes/root"
"beautify:trellis","beautify:trellis","<null>","minecraft:recipes/root"
"benssharks:pleasure","[Pleasure Doing Business]","Feed a Tiger Shark","-"
"benssharks:shark_aid","[""You're gonna need a bigger boat""]","Gain ""Jaws"" Effect from feeding a Great White Shark","-"
"biomesoplenty:biomesoplenty/all_biomes","[Wanderer]","Discover every biome in Biomes O' Plenty","biomesoplenty:biomesoplenty/root"
"biomesoplenty:biomesoplenty/root","[Biomes O' Plenty]","Explore the world around you","-"
"biomeswevegone:biomeswevegone/adventure/inside_quicksand","[I'm Sinking?]","Fall into quicksand","biomeswevegone:biomeswevegone/adventure/root"
"biomeswevegone:biomeswevegone/adventure/little_house_on_the_prairie","[Little House on the Prairie]","Find all the Prairie houses","biomeswevegone:biomeswevegone/adventure/root"
"biomeswevegone:biomeswevegone/adventure/oh_the_biomes_weve_gone","[Oh The Biomes We've Gone]","Explore all of the BWG biomes","biomeswevegone:biomeswevegone/adventure/root"
"biomeswevegone:biomeswevegone/adventure/root","[Adventure]","The root of all things BWG adventure","biomeswevegone:biomeswevegone/root"
"biomeswevegone:biomeswevegone/husbandry/berrily_alive","[Berrily Alive]","Obtain Blueberries","biomeswevegone:biomeswevegone/husbandry/root"
"biomeswevegone:biomeswevegone/husbandry/forager","[Forager]","Obtain White Puffball Caps","biomeswevegone:biomeswevegone/husbandry/root"
"biomeswevegone:biomeswevegone/husbandry/granny_smith","[Granny Smith?]","Obtain a Green Apple from the Skyris Highlands","biomeswevegone:biomeswevegone/husbandry/root"
"biomeswevegone:biomeswevegone/husbandry/hot_diggity_not_dog","[Hot Diggity Not Dog]","Cook a Cattail on a campfire, you might wanna back away...","biomeswevegone:biomeswevegone/husbandry/root"
"biomeswevegone:biomeswevegone/husbandry/johnny_appleseed","[Johnny Appleseed]","Find All 3 Apples","biomeswevegone:biomeswevegone/husbandry/granny_smith"
"biomeswevegone:biomeswevegone/husbandry/just_like_grandmas","[Just Like Grandma's]","Craft both of the BWG pies.","biomeswevegone:biomeswevegone/husbandry/root"
"biomeswevegone:biomeswevegone/husbandry/root","[Husbandry]","The root of all things BWG husbandry","biomeswevegone:biomeswevegone/root"
"biomeswevegone:biomeswevegone/root","[Oh The Biomes We've Gone]","Launch a world with the Oh The Biomes We've Gone","-"
"botanypots:husbandry/get_basic_pot","[Let It Grow]","Get a Botany Pot","minecraft:husbandry/plant_seed"
"botanypots:husbandry/get_hopper_pot","[Now You're Growing With Hoppers]","Get a Hopper Botany Pot","botanypots:husbandry/get_basic_pot"
"bountiful_critters:boiled_emu_egg_collected","[This Could've Been A Baby Emu!]","Cook a Emu Egg into a Boiled Emu Egg","minecraft:husbandry/root"
"bountiful_critters:eating_poisonous_pillbug","[Tough Pill To Swallow]","Consume a Poisonous Pill Bug","minecraft:husbandry/root"
"bountiful_critters:krill_cocktail_obtained","[Shrimple As That]","Craft a Krill Cocktail","minecraft:husbandry/root"
"bountiful_critters:longhorn_horn_collected","[Could Be A Great Didgeridoo]","Collect a Longhorn Horn","minecraft:husbandry/root"
"bountiful_critters:pillbug_collected","[Unusual Catch]","Collect a Pill Bug","minecraft:husbandry/root"
"bountiful_critters:seagrass_ball_collected","[Sticky Substance]","Get a Seagrass Ball","minecraft:husbandry/root"
"bountiful_critters:stingray_collected","[Is That A Swimming Pancake?]","Collect a Stingray","minecraft:husbandry/tactical_fishing"
"bountiful_critters:sunfish_collected","[I Would Bring You The Sun]","Collect a Sunfish","minecraft:husbandry/tactical_fishing"
"buildersdelight:furniture_kit","[Must Be Uncomfortable]","Craft A Chair Or Stool","buildersdelight:root"
"buildersdelight:iron_chisel","[Watch Your Hands]","Craft A Iron Chisel","buildersdelight:root"
"buildersdelight:root","[Builder's Delight]","All Them Sweet Advancements!","-"
"chalk:adventure/black_chalk_on_black_block","[Alone In the Darkness]","Draw with the Black Chalk on the black block in the blackness","chalk:adventure/draw_mark_in_maze"
